Date,FareProduct,TransitCard,PaymentType,BusNo,TransactionType,SeqNo,GrpQty,TotalCost,Bonus,Change,TotalChange,ValueLeft,RidesLeft,RenewedAdvCount,Status
1/19/16 10:45,Reg SV Regular,1.60E+14,N/A,1,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,26.5,Unlmtd,,Success
1/19/16 10:45,Reg SV Regular,1.60E+14,N/A,1,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,26.25,Unlmtd,,Success
1/19/16 10:45,Reg SV Regular,1.60E+14,N/A,1,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,20,Unlmtd,,Success
1/19/16 11:18,Reg SV Regular,1.60E+14,N/A,1,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,20.75,Unlmtd,,Success
1/19/16 11:18,Reg SV Regular,1.60E+14,N/A,1,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,11.75,Unlmtd,,Success
1/19/16 15:29,Reg SV Regular,1.60E+14,N/A,1,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,15,Unlmtd,,Success
1/19/16 15:29,Reg SV Regular,1.60E+14,N/A,1,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,18.75,Unlmtd,,Success
1/19/16 15:29,Reg SV Regular,1.60E+14,N/A,1,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,6,Unlmtd,,Success
1/19/16 16:25,Reg SV Regular,1.60E+14,N/A,1,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,5.25,Unlmtd,,Success
1/19/16 16:25,Reg SV Regular,1.60E+14,N/A,1,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,14.25,Unlmtd,,Success
1/19/16 16:25,Reg SV Regular,1.60E+14,N/A,1,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,18,Unlmtd,,Success
1/19/16 16:25,Reg SV Regular,1.60E+14,N/A,1,No Prod Use Type,,1,0,0,0,0,5.25,Unlmtd,,Passback
1/19/16 16:25,Reg SV Regular,1.60E+14,N/A,1,No Prod Use Type,,1,0,0,0,0,14.25,Unlmtd,,Passback
1/19/16 16:25,Reg SV Regular,1.60E+14,N/A,1,No Prod Use Type,,1,0,0,0,0,18,Unlmtd,,Passback
1/19/16 16:40,Reg SV Regular,1.60E+14,N/A,1,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,9.25,Unlmtd,,Success
1/19/16 16:40,Reg SV Regular,1.60E+14,N/A,1,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,17.25,Unlmtd,,Success
1/19/16 6:42,Reg SV Regular,1.60E+14,N/A,3209,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,4.25,Unlmtd,,Success
1/19/16 7:16,Reg SV Regular,1.60E+14,N/A,3209,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,29.75,Unlmtd,,Success
1/19/16 7:34,EZ Pass AdultZ0,1.60E+14,N/A,3209,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 7:38,Reg SV Regular,1.60E+14,N/A,3209,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,5.25,Unlmtd,,Success
1/19/16 7:42,Reg SV Regular,1.60E+14,N/A,3209,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,13.75,Unlmtd,,Success
1/19/16 13:59,ASI,1.60E+14,N/A,3209,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 14:18,ASI,1.60E+14,N/A,3209,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 14:20,ASI,1.60E+14,N/A,3209,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 15:22,Reg SV Regular,1.60E+14,N/A,3209,SV Exit (Tag Off),,1,0,0,0,0,3.25,Unlmtd,,Success
