Company,Vehicle,Hour,Minute,Trip No,Route,Departure,Arrival,Avg Departure Diff,Avg Scheduled Travel,Avg Arrival Diff
First Transit,2210,7,12,304001,31,7:13:30 AM,7:17:30 AM,1.5,5,0.5
First Transit,2210,7,17,304001,31,7:18:00 AM,7:22:45 AM,1,5,0.8
First Transit,2210,7,22,304001,31,7:23:45 AM,7:31:30 AM,1.8,8,1.5
First Transit,2210,7,30,304001,31,7:32:00 AM,7:43:00 AM,2,11,2
First Transit,2210,15,26,204001,20cw,3:26:33 PM,3:37:18 PM,0.6,11,0.3
First Transit,2210,15,37,204001,20cw,3:38:03 PM,3:40:33 PM,1.1,3,0.6
First Transit,2210,15,40,204001,20cw,3:41:18 PM,3:51:49 PM,1.3,12,-0.2
First Transit,2210,15,52,204001,20cw,3:52:18 PM,3:56:03 PM,0.3,4,0.1
First Transit,3206,6,7,501001,51,6:07:20 AM,6:14:20 AM,0.3,7,0.3
First Transit,3206,6,14,501001,51,6:15:06 AM,,1.1,4,
First Transit,3206,6,18,501001,51,6:19:06 AM,6:38:51 AM,1.1,12,8.9
First Transit,3206,6,38,501002,51,6:39:06 AM,,1.1,11,
First Transit,3206,6,49,501002,51,6:50:06 AM,6:53:51 AM,1.1,4,0.9
First Transit,3206,6,53,501002,51,6:54:21 AM,7:01:35 AM,1.4,6,2.6
First Transit,3206,6,59,501003,52,7:01:50 AM,7:06:36 AM,2.8,6,1.6
First Transit,3206,7,5,501003,52,7:06:51 AM,,1.9,6,
First Transit,3206,7,11,501003,52,7:11:36 AM,,0.6,13,
First Transit,3206,7,24,501003,52,7:24:51 AM,7:42:50 AM,0.9,11,7.8
First Transit,3206,7,44,501004,51,7:44:36 AM,7:56:36 AM,0.6,11,1.6
First Transit,3206,7,55,501004,51,7:56:51 AM,8:03:20 AM,1.9,5,3.3
First Transit,3206,8,0,501004,51,8:03:50 AM,8:12:35 AM,3.8,8,4.6
First Transit,3206,8,11,501005,51,8:13:05 AM,8:20:35 AM,2.1,6,3.6
First Transit,3206,8,17,501005,51,8:21:05 AM,,4.1,5,
First Transit,3206,8,22,501005,51,8:25:50 AM,8:38:20 AM,3.8,14,2.3
First Transit,3206,8,49,501006,51,8:49:36 AM,8:59:50 AM,0.6,11,-0.2
First Transit,3206,9,0,501006,51,9:00:20 AM,9:06:06 AM,0.3,5,1.1
First Transit,3206,9,5,501006,51,9:06:36 AM,,1.6,8,
First Transit,3206,9,13,501007,51,9:15:05 AM,9:21:35 AM,2.1,6,2.6
First Transit,3206,9,19,501007,51,9:21:50 AM,9:26:05 AM,2.8,5,2.1
First Transit,3206,9,24,501007,51,9:26:35 AM,9:39:06 AM,2.6,14,1.1
First Transit,3206,9,45,501008,51,9:47:35 AM,9:57:06 AM,2.6,11,1.1
First Transit,3206,9,56,501008,51,9:57:36 AM,10:03:05 AM,1.6,5,2.1
First Transit,3206,10,1,501008,51,10:03:35 AM,10:12:05 AM,2.6,8,3.1
First Transit,3206,10,11,501009,51,10:12:51 AM,10:19:06 AM,1.9,7,1.1
First Transit,3206,10,18,501009,51,10:19:21 AM,,1.4,5,
First Transit,3206,10,23,501009,51,10:23:51 AM,10:45:06 AM,0.9,14,8.1
First Transit,3206,10,44,501010,51,10:46:05 AM,10:55:50 AM,2.1,12,-0.2
First Transit,3206,10,56,501010,51,10:56:20 AM,11:01:36 AM,0.3,5,0.6
First Transit,3206,11,1,501010,51,11:03:05 AM,11:11:51 AM,2.1,9,1.9
First Transit,3206,11,10,501011,51,11:12:35 AM,11:18:06 AM,2.6,7,1.1
First Transit,3206,11,17,501011,51,11:18:21 AM,,1.4,5,
First Transit,3206,11,22,501011,51,11:22:51 AM,11:49:36 AM,0.9,14,13.6
First Transit,3206,11,49,501012,51,11:49:51 AM,12:02:05 PM,0.9,11,2.1
First Transit,3206,12,0,501012,51,12:02:20 PM,12:07:35 PM,2.3,5,2.6
First Transit,3206,12,5,501012,51,12:08:05 PM,12:17:35 PM,3.1,8,4.6
First Transit,3206,12,13,501013,51,12:17:50 PM,,4.8,7,
