Company,Vehicle,Hour,Minute,Trip No,Route,Departure,Arrival,Avg Departure Diff,Avg Scheduled Travel,Avg Arrival Diff
First Transit,2210,7,12,304001,31,7:12:45 AM,7:44:46 AM,0.8,29,3.8
First Transit,2210,15,26,204001,20cw,3:32:36 PM,4:03:06 PM,6.6,30,7.1
First Transit,3058,7,29,103005,10,7:32:00 AM,7:49:45 AM,3,18,2.8
First Transit,3058,7,51,103006,10,7:51:45 AM,8:14:45 AM,0.8,21,2.8
First Transit,3058,8,19,103007,10,8:20:15 AM,8:38:30 AM,1.3,17,2.5
First Transit,3058,8,36,103008,10,8:38:45 AM,9:01:45 AM,2.8,21,4.8
First Transit,3206,5,58,601001,60,5:58:33 AM,6:19:18 AM,0.6,18,3.3
First Transit,3206,6,20,601002,60,6:23:03 AM,6:39:48 AM,3.1,16,3.8
First Transit,3206,6,41,601003,60,6:42:33 AM,7:02:18 AM,1.6,20,1.3
First Transit,3206,7,3,601004,60,7:03:48 AM,7:23:18 AM,0.8,17,3.3
First Transit,3206,7,33,601005,60,7:33:03 AM,7:55:48 AM,0.1,21,1.8
First Transit,3206,7,58,601006,60,8:00:18 AM,8:19:03 AM,2.3,18,3.1
First Transit,3206,8,23,601007,60,8:26:18 AM,8:48:48 AM,3.3,21,4.8
First Transit,3206,8,47,601008,60,8:50:03 AM,9:11:33 AM,3.1,17,7.6
First Transit,3206,9,12,601009,60,9:12:48 AM,9:35:03 AM,0.8,20,3.1
First Transit,3206,9,36,601010,60,9:37:48 AM,9:58:18 AM,1.8,17,5.3
First Transit,3206,9,58,601011,60,9:59:33 AM,10:20:33 AM,1.6,20,2.6
First Transit,3206,10,19,601012,60,10:22:33 AM,10:40:48 AM,3.6,17,4.8
First Transit,3206,14,45,602001,60,2:44:20 PM,3:07:34 PM,-0.7,23,-0.4
First Transit,3206,15,8,602002,60,3:08:18 PM,3:26:03 PM,0.3,17,1.1
First Transit,3206,15,31,602003,60,3:30:20 PM,3:54:03 PM,-0.7,23,0.1
First Transit,3206,15,56,602004,60,3:56:18 PM,4:17:03 PM,0.3,19,2.1
First Transit,3206,16,18,602005,60,4:17:50 PM,4:42:18 PM,-0.2,23,1.3
First Transit,3206,16,45,602006,60,4:45:18 PM,5:05:03 PM,0.3,19,1.1
First Transit,3206,17,17,602007,60,5:16:35 PM,5:42:48 PM,-0.4,24,1.8
First Transit,3206,17,45,602008,60,5:45:18 PM,6:06:48 PM,0.3,18,3.8
First Transit,3206,18,6,602009,60,6:07:48 PM,,1.8,22,
First Transit,3206,18,30,602010,60,6:31:33 PM,6:48:33 PM,1.6,17,1.6
