Date,FareProduct,TransitCard,PaymentType,BusNo,TransactionType,SeqNo,GrpQty,TotalCost,Bonus,Change,TotalChange,ValueLeft,RidesLeft,RenewedAdvCount,Status
28-Apr-16 07:20:54,ASI,0160005334705113,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 07:38:05,Reg SV Sr/Dis,0160005622305758,N/A,3219,SV Entry (Tag On),,1,0.35,0.00,-0.35,-0.35,4.45,Unlmtd,,Success
28-Apr-16 07:53:07,ASI,0160011831873024,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 08:10:12,ASI,0160005501131358,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 08:10:18,ASI,0160008147302557,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 08:13:49,ASI,0160008073276312,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 08:46:03,EZ Pass AdultZ0,0160026529713381,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 08:46:12,Reg SV Regular,0160007649927879,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,16.85,Unlmtd,,Success
28-Apr-16 09:13:29,DCFS EZ (New),01700754983236563200,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 09:22:25,ASI,0160033079622343,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 09:24:33,ASI,0160020977624166,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 09:34:51,EZ Pass AdultZ0,0160007941114119,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,12.90,Unlmtd,0,Success
28-Apr-16 09:55:08,ASI,0160033064617860,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 10:10:41,ASI,0160028112222994,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 10:13:57,ASI,0160036514838671,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 10:16:31,ASI,0160005648339351,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 10:19:48,ASI,0160019589490115,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 10:25:46,ASI,0160008050939569,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 10:29:39,Reg SV Regular,0160008476451355,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,19.00,Unlmtd,,Success
28-Apr-16 10:32:52,ASI,0160008106691354,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 10:34:34,Reg SV Regular,0160001306195581,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,297.65,Unlmtd,,Success
28-Apr-16 10:36:57,ASI,0160021204103529,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 11:08:50,ASI,0160020977624166,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 11:12:19,ASI,0160033065048909,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 11:15:08,Reg SV Regular,0160007543791231,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,13.50,Unlmtd,,Success
28-Apr-16 11:15:11,ASI,0160005509051996,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 11:32:55,Reg SV Sr/Dis,0160001446953980,N/A,3219,SV Entry (Tag On),,1,0.35,0.00,-0.35,-0.35,11.05,Unlmtd,,Success
28-Apr-16 12:02:52,EZ Pass S/D Z0,0160004888017751,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,8.90,Unlmtd,0,Success
28-Apr-16 12:02:58,ASI,0160005585343515,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 12:10:54,Reg SV Regular,0160008467324959,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,7.50,Unlmtd,,Success
28-Apr-16 12:23:29,ASI,0160005337110238,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 12:23:53,ASI,0160008117387356,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 12:31:50,ASI,0160005501131358,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 12:43:42,Reg SV Sr/Dis,0160005080382554,N/A,3219,SV Entry (Tag On),,1,0.35,0.00,-0.35,-0.35,3.60,Unlmtd,,Success
28-Apr-16 12:43:46,ASI,0160008063945165,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 12:49:47,Reg SV Regular,0160008532598231,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,16.05,Unlmtd,,Success
28-Apr-16 12:52:10,Reg SV Regular,0160008363654236,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,7.15,Unlmtd,,Success
28-Apr-16 13:22:03,Reg SV Regular,0160008307485598,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,3.00,Unlmtd,,Success
28-Apr-16 13:22:06,ASI,0160028111979958,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 13:24:13,ASI,0160011832019262,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 13:35:20,ASI,0160041888195203,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 13:39:48,ASI,0160005334490070,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 13:57:48,ASI,0160042245281280,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 14:01:19,ASI,0160008050390607,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 14:15:02,ASI,0160008092756955,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 14:16:22,Reg SV Regular,0160008513606870,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,0.50,Unlmtd,,Success
28-Apr-16 14:30:02,EZ Pass AdultZ0,0160008237212633,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 14:30:18,Reg SV Sr/Dis,0160018632258164,N/A,3219,SV Entry (Tag On),,1,0.35,0.00,-0.35,-0.35,1.45,Unlmtd,,Success
28-Apr-16 14:30:37,Reg SV Regular,0160008527880156,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,15.50,Unlmtd,,Success
28-Apr-16 14:52:42,ASI,0160005336364638,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 14:56:23,ASI,0160005585944155,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 15:03:17,DCFS EZ (New),01700249591750488325,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 15:16:31,ASI,0160005834321437,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 15:16:35,Reg SV Regular,0160003099506941,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,47.65,Unlmtd,,Success
28-Apr-16 15:16:38,Reg SV Regular,0160002838550947,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,11.25,Unlmtd,,Success
28-Apr-16 15:55:05,Reg SV Regular,0160039332970692,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,2.50,Unlmtd,,Success
28-Apr-16 15:58:50,Reg SV Regular,0160005446787678,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,7.00,Unlmtd,,Success
28-Apr-16 16:09:16,ASI,0160033065107143,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 16:13:54,ASI,0160005834321437,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 16:17:08,ASI,0160008073627670,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 16:33:41,ASI,0160005585933919,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 16:37:58,ASI,0160038261972752,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 16:56:37,Reg SV Sr/Dis,0160005622305758,N/A,3219,SV Entry (Tag On),,1,0.35,0.00,-0.35,-0.35,4.10,Unlmtd,,Success
28-Apr-16 17:07:32,Reg SV Regular,0160009089527516,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,12.00,Unlmtd,,Success
28-Apr-16 17:07:40,ASI,0160005293634395,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 17:15:15,ASI,0160042245281280,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 17:20:23,DCFS EZ (New),01701792907717669162,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 18:39:03,Reg SV Regular,0160040463554537,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,0.15,Unlmtd,,Success
28-Apr-16 13:10:48,ASI,0160005584808799,N/A,3209,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 13:16:56,ASI,0160008050674760,N/A,3209,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,1.25,Unlmtd,0,Success
28-Apr-16 13:59:07,Reg SV Sr/Dis,0160005324644314,N/A,3209,SV Entry (Tag On),,1,0.35,0.00,-0.35,-0.35,2.55,Unlmtd,,Success
28-Apr-16 13:59:43,Reg SV Sr/Dis,0160005324644314,N/A,3209,No Prod Use Type,,1,0.00,0.00,0.00,0.00,2.55,Unlmtd,,Passback
28-Apr-16 14:47:56,Reg SV Regular,0160008199713438,N/A,3209,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,4.15,Unlmtd,,Success
28-Apr-16 14:59:47,Reg SV Regular,0160005623329112,N/A,3209,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,0.50,Unlmtd,,Success
28-Apr-16 16:05:17,Reg SV Regular,0160008416855194,N/A,3209,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,19.25,Unlmtd,,Success
28-Apr-16 16:09:23,EZ Pass AdultZ0,0160000649927445,N/A,3209,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 17:24:21,EZ Pass AdultZ0,0160035438114789,N/A,3209,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.25,Unlmtd,0,Success
28-Apr-16 17:49:34,Reg SV Regular,0160005377334870,N/A,3209,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,142.25,Unlmtd,,Success
28-Apr-16 17:50:40,ASI,0160005334576159,N/A,3209,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 18:57:20,Reg SV Regular,0160008250463196,N/A,3209,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,12.00,Unlmtd,,Success
28-Apr-16 19:01:38,ASI,0160005501849751,N/A,3209,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
28-Apr-16 19:31:14,Reg SV Regular,0160004909491993,N/A,3209,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,2.75,Unlmtd,,Success
28-Apr-16 19:39:49,ASI,0160005585138394,N/A,3209,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
