Company,Vehicle,Hour,Minute,Trip No,Route,Departure,Arrival,Avg Departure Diff,Avg Scheduled Travel,Avg Arrival Diff
First Transit,2210,7,12,304001,31,2.300740740740741,2.3236458333333334,1.0833330154418945,29.0,5.066666126251221
First Transit,3058,5,58,601001,60,2.2495833333333333,2.262777777777778,1.416666030883789,18.0,2.416666030883789
First Transit,3058,6,20,601002,60,2.264340277777778,2.2752777777777777,0.6666659712791443,16.0,0.4166660010814667
First Transit,3058,6,41,601003,60,2.27875,2.2923032407407407,0.4166660010814667,20.0,-0.08333300054073334
First Transit,3058,7,3,601004,60,2.294027777777778,2.3065277777777777,0.4166660010814667,17.0,1.416666030883789
First Transit,3058,7,33,601005,60,2.3152083333333335,2.330486111111111,0.9166659712791443,21.0,1.916666030883789
First Transit,3058,7,58,601006,60,2.3325694444444443,2.3459375,0.9166659712791443,18.0,2.166666030883789
First Transit,3058,8,23,601007,60,2.3495833333333334,2.365034722222222,0.4166660010814667,21.0,1.666666030883789
First Transit,3058,8,47,601008,60,2.366423611111111,2.3834375,0.6666659712791443,17.0,8.166666030883789
First Transit,3058,9,12,601009,60,2.3837847222222224,2.396990740740741,0.6666659712791443,20.0,-0.33333298563957214
First Transit,3058,9,36,601010,60,2.3999537037037038,2.4155555555555557,-0.08333300054073334,17.0,5.416666030883789
First Transit,3058,9,58,601011,60,2.4157291666666665,2.4275462962962964,0.6666659712791443,20.0,-2.3333330154418945
First Transit,3058,10,19,601012,60,2.430138888888889,2.443159722222222,0.4166660010814667,17.0,2.166666030883789
First Transit,3058,16,0,502101,51,2.6669444444444443,2.6846412037037037,0.4000000059604645,27.0,-1.100000023841858
First Transit,3058,16,33,502102,51,2.6903703703703705,2.709467592592593,1.149999976158142,28.0,0.6499999761581421
First Transit,3058,17,8,502103,51,2.7145023148148146,2.7322106481481483,0.8999999761581421,27.0,-0.6000000238418579
First Transit,3058,17,48,502104,51,2.740949074074074,2.7621064814814815,-1.0499999523162842,25.0,4.449999809265137
First Transit,3058,18,19,502105,51,2.7636689814814814,2.780173611111111,0.699999988079071,27.0,-2.549999952316284
First Transit,3058,18,53,502106,51,2.7872800925925927,2.8039467592592593,0.699999988079071,24.0,0.699999988079071
First Transit,3058,19,20,502107,51,2.8065625,2.8148958333333334,1.4500000476837158,11.0,2.450000047683716
First Transit,3208,6,39,502001,51,2.2776851851851854,2.2887962962962964,0.8833330273628235,16.0,0.8833330273628235
First Transit,3208,7,5,502002,51,2.295729166666667,2.313599537037037,0.8500000238418579,24.0,2.5999999046325684
First Transit,3208,7,29,502003,51,2.3141203703703703,2.332523148148148,3.3499999046325684,27.0,2.8499999046325684
First Transit,3208,14,45,602001,60,2.6145833333333335,2.6329629629629627,-0.016666000708937645,23.0,3.483333110809326
First Transit,3208,15,8,602002,60,2.6334837962962965,2.6503240740740743,4.233333110809326,17.0,11.483332633972168
First Transit,3208,15,31,602003,60,2.650497685185185,,5.733333110809326,23.0,
First Transit,3208,15,56,602004,60,2.6668171296296297,2.6794907407407407,4.233333110809326,19.0,3.483333110809326
First Transit,3208,16,18,602005,60,2.679664351851852,2.695636574074074,0.7333329916000366,23.0,0.7333329916000366
First Transit,3208,16,45,602006,60,2.6980671296296297,2.7109259259259257,0.23333300650119781,19.0,-0.2666659951210022
First Transit,3208,17,17,602007,60,,2.7368055555555557,,24.0,0.016666000708937645
First Transit,3208,17,45,602008,60,2.7397569444444443,2.752951388888889,0.2666659951210022,18.0,1.266666054725647
First Transit,3208,18,6,602009,60,2.7531481481481483,2.7689351851851853,-1.4833329916000366,22.0,-0.7333329916000366
First Transit,3208,18,30,602010,60,2.7710069444444443,,0.2666659951210022,17.0,
First Transit,3208,18,47,602011,60,2.7838541666666665,2.7974074074074076,1.766666054725647,22.0,-0.7333329916000366
First Transit,3208,19,13,602012,60,2.8010416666666664,2.8133680555555554,0.5166659951210022,17.0,1.266666054725647
First Transit,3209,6,7,501001,51,2.2556018518518517,2.271053240740741,1.0833330154418945,23.0,0.33333298563957214
First Transit,3209,6,38,501002,51,2.2769560185185185,2.291886574074074,0.8333330154418945,21.0,1.3333330154418945
First Transit,3209,6,59,501003,52,2.2925810185185185,2.3172337962962963,2.3333330154418945,36.0,1.8333330154418945
First Transit,3209,7,44,501004,51,2.3226157407407406,,0.5833330154418945,24.0,
First Transit,3209,8,11,501005,51,2.341712962962963,2.358553240740741,1.0833330154418945,25.0,0.33333298563957214
First Transit,3209,8,49,501006,51,2.367662037037037,2.382789351851852,0.44999998807907104,24.0,-1.7833329439163208
First Transit,3209,9,13,501007,51,2.3843402777777776,2.4011689814814816,0.46666601300239563,25.0,-0.30000001192092896
First Transit,3209,9,45,501008,51,2.406550925925926,2.4239236111111113,0.44999998807907104,24.0,1.4500000476837158
First Transit,3209,10,11,501009,51,2.4246064814814816,2.442314814814815,0.44999998807907104,26.0,-0.05000000074505806
First Transit,3209,10,44,501010,51,2.448275462962963,2.4644328703703704,1.5333329439163208,26.0,-1.2166659832000732
First Transit,3209,11,10,501011,51,2.465462962962963,2.484050925925926,0.2833330035209656,26.0,1.0499999523162842
First Transit,3209,11,49,501012,51,,2.512303240740741,,24.0,4.733333110809326
First Transit,3209,12,13,501013,51,2.5125,2.5286458333333335,5.0,26.0,2.25
First Transit,3210,12,46,501101,51,2.5332986111111113,2.549803240740741,1.9666659832000732,24.0,1.7333329916000366
First Transit,3210,13,13,501102,51,2.551018518518519,2.5680439814814813,0.4833329916000366,26.0,-1.016666054725647
First Transit,3210,13,46,501103,51,2.576539351851852,2.5959837962962964,4.233333110809326,24.0,8.233332633972168
First Transit,3210,14,12,501104,51,2.596157407407407,2.612650462962963,6.483333110809326,26.0,4.233333110809326
First Transit,3210,14,45,501105,51,2.615601851851852,2.6381597222222224,1.4833329916000366,25.0,8.966666221618652
First Transit,3210,15,12,501106,51,2.639733796296296,2.659525462962963,9.233332633972168,27.0,10.733332633972168
First Transit,3210,16,3,501107,51,2.669074074074074,2.690069444444444,0.4833329916000366,28.0,2.7166659832000732
First Transit,3210,16,34,501108,52,2.6904166666666667,2.715590277777778,0.21666599810123444,35.0,1.4666659832000732
First Transit,3210,17,16,501109,51,2.7197569444444447,2.739027777777778,0.46666601300239563,26.0,2.2166659832000732
First Transit,3210,17,45,501110,51,2.7397222222222224,2.7525810185185184,0.21666599810123444,27.0,-8.283332824707031
First Transit,3210,18,25,501111,51,2.7676736111111113,2.786423611111111,0.46666601300239563,25.0,2.4666659832000732
First Transit,3210,18,53,501112,52,2.7871180555555557,2.8112500000000002,0.46666601300239563,35.0,0.21666599810123444
First Transit,3210,19,34,501113,51,2.815590277777778,2.832430555555556,0.46666601300239563,24.0,0.7166659832000732
First Transit,3216,5,55,301001,31,2.2480902777777776,2.2630324074074073,2.2666659355163574,24.0,-0.23333300650119781
First Transit,3216,6,29,301002,31,2.2706597222222222,2.290462962962963,0.7666659951210022,32.0,-2.733333110809326
First Transit,3216,7,1,301003,31,2.2925347222222223,2.3130208333333333,0.2666659951210022,29.0,0.7666659951210022
First Transit,3216,7,38,301004,31,2.318576388888889,2.3411458333333335,0.7666659951210022,29.0,4.266665935516357
First Transit,3216,8,7,301005,31,2.3413194444444443,2.3618055555555557,4.516665935516357,29.0,5.016665935516357
First Transit,3216,8,46,301006,31,2.365972222222222,2.3875,1.016666054725647,29.0,3.0166659355163574
First Transit,3216,9,15,301007,31,2.3878472222222222,2.4069444444444446,3.5166659355163574,28.0,3.0166659355163574
First Transit,3216,9,53,301008,31,2.412673611111111,2.435763888888889,1.266666054725647,29.0,5.516665935516357
First Transit,3216,10,22,301009,31,2.436111111111111,2.4522569444444446,6.016665935516357,27.0,2.2666659355163574
First Transit,3216,10,59,301010,32,2.4590277777777776,2.480046296296296,2.0166659355163574,31.0,1.2833329439163208
First Transit,3216,11,30,301011,31,2.4803935185185186,2.4993171296296297,1.7833329439163208,28.0,1.0333329439163208
First Transit,3216,12,8,301012,31,2.5067824074074077,2.5291782407407406,1.7833329439163208,34.0,0.03333299979567528
First Transit,3216,12,42,301013,31,2.529525462962963,2.54724537037037,0.5333330035209656,27.0,-0.9666659832000732
First Transit,3216,13,19,301014,31,2.5553935185185184,2.5802199074074075,0.7833330035209656,36.0,0.5333330035209656
First Transit,3216,13,55,301015,31,2.5803935185185187,2.598796296296296,0.7833330035209656,27.0,0.2833330035209656
First Transit,3216,14,32,301016,31,2.606261574074074,2.6335185185185184,1.0333329439163208,40.0,0.2833330035209656
First Transit,3216,15,12,301017,31,2.634039351851852,2.657650462962963,1.0333329439163208,29.0,6.033332824707031
First Transit,3216,15,51,301018,31,2.660949074074074,2.6876967592592593,0.7833330035209656,40.0,-0.7166659832000732
First Transit,3216,16,31,301019,31,2.6883796296296296,2.709212962962963,0.2833330035209656,28.0,2.2833330631256104
First Transit,3216,17,9,301020,31,2.715289351851852,2.743414351851852,1.0333329439163208,39.0,2.5333330631256104
First Transit,3216,17,48,301021,32,2.743761574074074,2.759386574074074,3.0333330631256104,24.0,1.5333329439163208
First Transit,3216,18,37,301022,31,2.7762268518518516,2.7995023148148146,0.7833330035209656,35.0,-0.7166659832000732
First Transit,3216,19,12,301023,32,2.8001851851851853,2.8159837962962966,0.2833330035209656,23.0,0.03333299979567528
First Transit,3217,6,48,403001,40,2.2840277777777778,2.3039930555555554,1.016666054725647,28.0,1.766666054725647
First Transit,3217,7,26,403002,40,2.3118055555555554,2.328472222222222,3.0166659355163574,23.0,4.016665935516357
First Transit,3217,7,52,403003,40,2.3288194444444446,2.352951388888889,1.516666054725647,28.0,8.266666412353516
First Transit,3217,8,30,403004,40,2.354861111111111,2.370486111111111,1.016666054725647,23.0,0.5166659951210022
First Transit,3218,5,41,293001,20cc,2.2374074074074075,2.2750810185185184,0.8833330273628235,55.0,0.1333329975605011
First Transit,3218,6,36,293002,20cc,2.275428240740741,2.3141435185185184,0.6333330273628235,56.0,0.3833329975605011
First Transit,3218,7,32,293003,20cc,2.3143171296296297,2.360162037037037,0.6333330273628235,67.0,-0.3666659891605377
First Transit,3218,8,39,293004,20cc,2.3606712962962964,2.4096296296296296,0.3833329975605011,69.0,1.8833329677581787
First Transit,3218,9,48,293005,20cc,2.410324074074074,2.4567824074074074,2.8833329677581787,70.0,-0.23333300650119781
First Transit,3218,10,58,293006,20cc,2.4572916666666664,2.507997685185185,0.5166659951210022,73.0,0.5333330035209656
First Transit,3218,12,11,293007,20cc,2.5081597222222225,2.5585069444444444,0.7666659951210022,73.0,0.2666659951210022
First Transit,3218,13,24,293008,20cc,2.5586921296296294,,0.5333330035209656,75.0,
First Transit,3218,14,39,293009,20cc,,2.663240740740741,,72.0,4.0833330154418945
First Transit,3218,15,51,293010,20cc,2.6639351851851854,2.7097685185185183,5.0833330154418945,70.0,1.0833330154418945
First Transit,3218,17,1,293011,20cc,2.710289351851852,2.7582060185185187,1.8333330154418945,68.0,2.8333330154418945
First Transit,3218,18,9,293012,20cc,2.75837962962963,,3.0833330154418945,56.0,
First Transit,3218,19,5,293013,20cc,2.801435185185185,,9.083333015441895,46.0,
First Transit,3219,5,54,202001,20cw,2.247685185185185,2.274236111111111,2.683332920074463,40.0,0.9166659712791443
