Company,Vehicle,Hour,Minute,Trip No,Route,Departure,Arrival,Avg Departure Diff,Avg Scheduled Travel,Avg Arrival Diff
First Transit,2210,7,12,304001,31,7:12:51 AM,7:45:50 AM,0.9,29.0,4.8
First Transit,2210,15,26,204001,20cw,3:31:19 PM,4:13:34 PM,5.3,32.0,15.6
First Transit,3058,6,39,502001,51,6:39:07 AM,6:56:22 AM,0.1,16.0,1.4
First Transit,3058,7,5,502002,51,7:05:37 AM,7:34:22 AM,0.6,24.0,5.4
First Transit,3058,7,29,502003,51,7:35:07 AM,8:05:22 AM,6.1,27.0,9.4
First Transit,3058,16,0,502101,51,4:00:12 PM,4:25:29 PM,0.2,27.0,-1.5
First Transit,3058,16,33,502102,51,4:34:58 PM,5:05:57 PM,2.0,28.0,5.0
First Transit,3058,17,8,502103,51,5:08:27 PM,5:32:44 PM,0.5,27.0,-2.3
First Transit,3058,17,48,502104,51,5:48:28 PM,6:14:43 PM,0.5,25.0,1.7
First Transit,3058,18,19,502105,51,6:19:28 PM,6:43:44 PM,0.5,27.0,-2.3
First Transit,3058,18,53,502106,51,6:53:12 PM,7:19:43 PM,0.2,24.0,2.7
First Transit,3058,19,20,502107,51,7:20:28 PM,7:30:14 PM,0.5,11.0,-0.8
First Transit,3206,5,58,601001,60,6:00:34 AM,6:16:33 AM,2.6,18.0,0.6
First Transit,3206,6,20,601002,60,,6:39:35 AM,,16.0,3.6
First Transit,3206,6,41,601003,60,6:40:36 AM,7:01:36 AM,-0.4,20.0,0.6
First Transit,3206,7,3,601004,60,,7:23:06 AM,,17.0,3.1
First Transit,3206,7,33,601005,60,7:34:48 AM,7:57:18 AM,1.8,21.0,3.3
First Transit,3206,7,58,601006,60,7:58:33 AM,8:18:48 AM,0.6,18.0,2.8
First Transit,3206,8,23,601007,60,8:19:05 AM,,-3.9,21.0,
First Transit,3206,8,47,601008,60,8:48:38 AM,9:10:09 AM,1.6,17.0,6.2
First Transit,3206,9,12,601009,60,9:11:24 AM,9:32:38 AM,-0.6,20.0,0.6
First Transit,3206,9,36,601010,60,9:37:08 AM,9:56:09 AM,1.1,17.0,3.2
First Transit,3206,9,58,601011,60,9:58:46 AM,,0.8,20.0,
First Transit,3206,10,19,601012,60,10:25:31 AM,10:45:31 AM,6.5,17.0,9.5
First Transit,3206,14,45,602001,60,2:44:44 PM,3:10:12 PM,-0.3,23.0,2.2
First Transit,3206,15,8,602002,60,3:10:57 PM,,3.0,17.0,
First Transit,3206,15,31,602003,60,3:31:42 PM,3:54:42 PM,0.7,23.0,0.7
First Transit,3206,15,56,602004,60,3:56:12 PM,4:17:42 PM,0.2,19.0,2.7
First Transit,3206,16,18,602005,60,4:17:59 PM,4:38:58 PM,0.0,23.0,-2.0
First Transit,3206,16,45,602006,60,,5:03:45 PM,,19.0,-0.3
First Transit,3206,17,17,602007,60,5:17:15 PM,5:43:15 PM,0.3,24.0,2.3
First Transit,3206,17,45,602008,60,5:45:30 PM,,0.5,18.0,
First Transit,3206,18,6,602009,60,6:06:30 PM,6:28:45 PM,0.5,22.0,0.8
First Transit,3206,18,30,602010,60,6:30:15 PM,,0.3,17.0,0.0
First Transit,3206,18,47,602011,60,6:47:15 PM,7:08:15 PM,0.3,22.0,-0.8
First Transit,3206,19,13,602012,60,7:13:30 PM,7:32:30 PM,0.5,17.0,2.5
First Transit,3208,6,7,501001,51,6:07:33 AM,6:32:02 AM,0.6,23.0,2.0
First Transit,3208,6,38,501002,51,,7:00:30 AM,,21.0,1.5
First Transit,3208,6,59,501003,52,7:00:45 AM,7:34:31 AM,1.8,36.0,-0.5
First Transit,3208,7,44,501004,51,7:45:00 AM,8:13:00 AM,1.0,24.0,5.0
First Transit,3208,8,11,501005,51,8:13:15 AM,8:37:15 AM,2.3,25.0,1.3
First Transit,3208,8,49,501006,51,8:49:49 AM,9:14:06 AM,0.8,24.0,1.1
First Transit,3208,9,13,501007,51,9:14:21 AM,9:39:04 AM,1.4,25.0,1.1
First Transit,3208,9,45,501008,51,9:46:21 AM,10:15:50 AM,1.4,24.0,6.8
First Transit,3208,10,11,501009,51,10:16:04 AM,10:42:19 AM,5.1,26.0,5.3
First Transit,3208,10,44,501010,51,,11:24:30 AM,,26.0,14.5
First Transit,3208,11,10,501011,51,11:25:15 AM,11:48:15 AM,15.3,26.0,12.3
First Transit,3208,11,49,501012,51,,12:20:54 PM,,24.0,7.9
First Transit,3208,12,13,501013,51,12:21:38 PM,12:46:39 PM,8.6,26.0,7.7
First Transit,3210,12,46,501101,51,,1:16:41 PM,,24.0,6.7
First Transit,3210,13,13,501102,51,1:16:57 PM,1:45:11 PM,4.0,26.0,6.2
First Transit,3210,13,46,501103,51,1:48:27 PM,2:13:57 PM,2.5,24.0,4.0
First Transit,3210,14,12,501104,51,2:14:12 PM,2:43:56 PM,2.2,26.0,5.9
First Transit,3210,14,45,501105,51,2:46:12 PM,3:13:42 PM,1.2,25.0,3.7
First Transit,3210,15,12,501106,51,3:14:57 PM,3:41:40 PM,3.0,27.0,2.7
First Transit,3210,16,3,501107,51,4:05:40 PM,4:38:10 PM,2.7,28.0,7.2
First Transit,3210,16,34,501108,52,4:38:55 PM,5:12:55 PM,4.9,35.0,3.9
First Transit,3210,17,16,501109,51,5:17:25 PM,5:45:40 PM,1.4,26.0,3.7
First Transit,3210,17,45,501110,51,5:46:10 PM,6:13:55 PM,1.2,27.0,1.9
First Transit,3210,18,25,501111,51,6:26:25 PM,6:52:40 PM,1.4,25.0,2.7
First Transit,3210,18,53,501112,52,6:53:40 PM,7:28:10 PM,0.7,35.0,0.2
First Transit,3210,19,34,501113,51,7:34:40 PM,7:59:55 PM,0.7,24.0,1.9
First Transit,3216,6,23,402001,40,6:24:36 AM,6:49:51 AM,1.6,26.0,0.9
First Transit,3216,6,59,402002,40,7:00:21 AM,7:22:21 AM,1.4,23.0,0.4
First Transit,3216,7,27,402003,40,7:27:36 AM,7:59:51 AM,0.6,29.0,3.9
First Transit,3216,8,14,402004,40,8:15:06 AM,8:41:06 AM,1.1,23.0,4.1
First Transit,3216,8,40,402005,40,8:41:36 AM,9:11:36 AM,1.6,29.0,2.6
First Transit,3216,9,19,402006,40,9:21:06 AM,9:43:51 AM,2.1,23.0,1.9
First Transit,3216,9,45,402007,40,9:45:21 AM,10:12:52 AM,0.4,29.0,-1.1
First Transit,3216,10,24,402008,40,10:24:51 AM,10:50:21 AM,0.9,24.0,2.4
First Transit,3216,10,51,402009,40,10:52:06 AM,11:19:06 AM,1.1,28.0,0.1
First Transit,3216,11,29,402010,40,11:29:36 AM,11:57:36 AM,0.6,25.0,3.6
First Transit,3216,11,57,402011,40,11:58:51 AM,12:23:37 PM,1.9,28.0,-1.4
First Transit,3216,12,38,402012,40,12:38:36 PM,1:05:51 PM,0.6,25.0,2.9
First Transit,3216,13,5,402013,40,1:06:36 PM,1:32:52 PM,1.6,29.0,-1.1
First Transit,3216,13,44,402014,40,1:44:51 PM,2:13:06 PM,0.9,25.0,4.1
First Transit,3216,14,11,402015,40,2:13:51 PM,2:42:36 PM,2.9,28.0,3.6
First Transit,3216,14,49,402016,40,2:53:21 PM,3:17:36 PM,4.4,27.0,1.6
First Transit,3216,15,19,402017,40,3:17:53 PM,3:48:36 PM,-1.1,29.0,0.6
First Transit,3216,15,58,402018,40,3:58:51 PM,4:30:36 PM,0.9,27.0,5.6
First Transit,3216,16,28,402019,40,4:31:51 PM,5:03:36 PM,3.9,29.0,6.6
First Transit,3216,17,7,402020,40,5:07:51 PM,5:38:36 PM,0.9,28.0,3.6
First Transit,3216,17,38,402021,40,5:39:36 PM,6:05:22 PM,1.6,29.0,-1.6
First Transit,3216,18,17,402022,40,6:17:53 PM,6:43:24 PM,0.9,26.0,0.4
First Transit,3216,18,43,402023,40,6:43:53 PM,7:09:09 PM,0.9,26.0,0.2
First Transit,3216,19,17,402024,40,7:17:53 PM,7:38:38 PM,0.9,23.0,-1.4
First Transit,3217,6,3,291001,20cc,6:03:43 AM,6:59:30 AM,0.7,56.0,0.5
First Transit,3217,6,59,291002,20cc,7:00:00 AM,,1.0,61.0,
First Transit,3217,8,0,291003,20cc,8:00:45 AM,9:06:45 AM,0.8,67.0,-0.3
First Transit,3217,9,7,291004,20cc,9:07:45 AM,10:15:30 AM,0.8,67.0,1.5
First Transit,3217,10,14,291005,20cc,10:16:00 AM,,2.0,69.0,0.0
First Transit,3217,11,23,291006,20cc,11:23:13 AM,12:35:15 PM,0.2,72.0,0.3
First Transit,3217,12,35,291007,20cc,12:35:58 PM,,1.0,72.0,
First Transit,3217,13,47,291008,20cc,,3:00:14 PM,,74.0,-0.8
First Transit,3217,15,1,291009,20cc,3:01:13 PM,4:12:44 PM,0.2,72.0,-0.3
First Transit,3217,16,13,291010,20cc,4:13:28 PM,5:23:58 PM,0.5,70.0,1.0
First Transit,3217,17,23,291011,20cc,5:24:28 PM,6:29:59 PM,1.5,67.0,0.0
First Transit,3217,18,30,291012,20cc,6:30:28 PM,7:26:43 PM,0.5,56.0,0.7
First Transit,3217,19,26,291013,20cc,7:27:28 PM,,1.5,46.0,
First Transit,3218,6,12,292001,20cc,6:13:55 AM,7:09:12 AM,1.9,57.0,0.2
First Transit,3218,7,9,292002,20cc,7:09:56 AM,8:20:58 AM,0.9,71.0,1.0
First Transit,3218,8,20,292003,20cc,8:21:28 AM,9:27:28 AM,1.5,67.0,0.5
First Transit,3218,9,27,292004,20cc,9:27:58 AM,10:36:28 AM,1.0,68.0,1.5
First Transit,3218,10,35,292005,20cc,10:36:43 AM,11:46:28 AM,1.7,71.0,0.5
First Transit,3218,11,46,292006,20cc,11:49:58 AM,,4.0,73.0,
First Transit,3218,12,59,292007,20cc,12:59:28 PM,2:11:43 PM,0.5,72.0,0.7
First Transit,3218,14,11,292008,20cc,2:11:58 PM,3:27:28 PM,1.0,72.0,4.5
First Transit,3218,15,23,292009,20cc,3:27:43 PM,4:38:28 PM,4.7,75.0,0.5
First Transit,3218,16,38,292010,20cc,4:38:57 PM,5:46:43 PM,1.0,67.0,1.7
First Transit,3218,17,45,292011,20cc,5:47:27 PM,6:49:12 PM,2.5,64.0,0.2
First Transit,3218,18,49,292012,20cc,6:49:57 PM,,1.0,47.0,
First Transit,3219,5,55,301001,31,5:56:12 AM,6:20:27 AM,1.2,24.0,1.5
First Transit,3219,6,29,301002,31,6:30:12 AM,7:01:42 AM,1.2,32.0,0.7
First Transit,3219,7,1,301003,31,7:01:57 AM,7:27:13 AM,1.0,29.0,-2.8
First Transit,3219,7,38,301004,31,7:38:42 AM,8:13:12 AM,0.7,29.0,6.2
First Transit,3219,8,7,301005,31,8:13:42 AM,8:41:12 AM,6.7,29.0,5.2
First Transit,3219,8,46,301006,31,8:46:42 AM,9:18:27 AM,0.7,29.0,3.5
First Transit,3219,9,15,301007,31,9:18:42 AM,9:43:42 AM,3.7,28.0,0.7
First Transit,3219,9,53,301008,31,9:54:27 AM,10:23:42 AM,1.5,29.0,1.7
First Transit,3219,10,22,301009,31,10:24:27 AM,10:56:12 AM,2.5,27.0,7.2
First Transit,3219,10,59,301010,32,11:00:42 AM,11:30:27 AM,1.7,31.0,0.5
First Transit,3219,11,30,301011,31,11:31:42 AM,11:59:27 AM,1.7,28.0,1.5
First Transit,3219,12,8,301012,31,12:08:57 PM,12:45:12 PM,1.0,34.0,3.2
First Transit,3219,12,42,301013,31,12:45:42 PM,1:09:27 PM,3.7,27.0,0.5
First Transit,3219,13,19,301014,31,1:19:42 PM,1:57:00 PM,0.7,36.0,2.0
First Transit,3219,13,55,301015,31,1:57:30 PM,2:29:30 PM,2.5,27.0,7.5
First Transit,3219,14,32,301016,31,2:34:00 PM,,2.0,40.0,0.0
First Transit,3219,15,12,301017,31,3:12:30 PM,3:45:30 PM,0.5,29.0,4.5
First Transit,3219,15,51,301018,31,3:52:00 PM,4:29:15 PM,1.0,40.0,-1.8
First Transit,3219,16,31,301019,31,4:31:15 PM,5:02:00 PM,0.3,28.0,3.0
First Transit,3219,17,9,301020,31,5:10:00 PM,5:47:30 PM,1.0,39.0,-0.5
First Transit,3219,17,48,301021,32,5:48:30 PM,6:19:00 PM,0.5,24.0,7.0
First Transit,3219,18,37,301022,31,6:38:00 PM,7:11:45 PM,1.0,35.0,-0.3
First Transit,3219,19,12,301023,32,7:12:15 PM,7:34:15 PM,0.3,23.0,-0.8
First Transit,3220,5,50,101001,10,5:50:51 AM,6:06:52 AM,0.9,18.0,-1.1
First Transit,3220,6,15,101002,10,6:15:36 AM,6:29:07 AM,0.6,15.0,-0.9
First Transit,3220,6,30,101003,10,6:30:37 AM,6:49:37 AM,0.6,19.0,0.6
First Transit,3220,7,2,101004,10,7:02:52 AM,7:21:22 AM,0.9,18.0,1.4
First Transit,3220,7,20,101005,10,7:21:37 AM,7:41:22 AM,1.6,21.0,0.4
First Transit,3220,7,48,101006,10,7:48:22 AM,8:09:07 AM,0.4,18.0,3.1
First Transit,3220,8,6,101007,10,8:09:22 AM,8:33:22 AM,3.4,21.0,6.4
First Transit,3220,8,34,101008,10,8:37:07 AM,8:57:22 AM,3.1,17.0,6.4
First Transit,3220,8,51,101009,10,8:57:37 AM,9:16:22 AM,6.6,22.0,3.4
First Transit,3220,9,20,101010,10,9:22:22 AM,,2.4,18.0,
First Transit,3220,9,38,101011,10,9:40:07 AM,10:06:22 AM,2.1,22.0,6.4
First Transit,3220,10,7,101012,10,10:08:07 AM,10:27:37 AM,1.1,20.0,0.6
First Transit,3220,10,27,101013,10,10:27:52 AM,10:50:52 AM,0.9,23.0,0.9
