Date,FareProduct,TransitCard,PaymentType,BusNo,TransactionType,SeqNo,GrpQty,TotalCost,Bonus,Change,TotalChange,ValueLeft,RidesLeft,RenewedAdvCount,Status
12-Apr-16 06:11:35,EZ Pass S/D Z0,01702719592545808642,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.45,Unlmtd,0,Success
12-Apr-16 06:43:03,ASI,0160019589209630,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
12-Apr-16 06:53:25,Reg SV Regular,0160008378413594,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,9.65,Unlmtd,,Success
12-Apr-16 06:56:55,ASI,0160005652515672,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,2.25,Unlmtd,0,Success
12-Apr-16 07:48:21,Reg SV Regular,0160008618979677,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,2.15,Unlmtd,,Success
12-Apr-16 07:48:56,Reg SV Regular,0160009100076196,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,200.00,Unlmtd,,Success
12-Apr-16 07:49:50,Reg SV Regular,0160005749102237,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,11.00,Unlmtd,,Success
12-Apr-16 07:51:59,Reg SV Regular,0160008974965153,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,21.75,Unlmtd,,Success
12-Apr-16 07:57:35,Reg SV Regular,0160008442715677,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,16.50,Unlmtd,,Success
12-Apr-16 08:22:11,ASI,0160033064689547,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
12-Apr-16 08:30:50,ASI,0160033065160902,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
12-Apr-16 08:57:55,ASI,0160005585591519,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
12-Apr-16 08:58:00,ASI,0160036514916436,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,1.75,Unlmtd,0,Success
