Route,Day,Green & Orange Grove,Colorado & Raymond,Lake & Colorado,Lake & Del Mar,Del Mar & Bonnie,Allen & Corson
10,dx,,,,,,
10,dx,5:50 AM,5:53 AM,5:57 AM,5:59 AM,6:02 AM,6:08 AM
10,dx,6:14 AM,6:18 AM,6:22 AM,6:24 AM,6:27 AM,6:33 AM
10,dx,6:30 AM,6:34 AM,6:38 AM,6:40 AM,6:43 AM,6:49 AM
10,dx,6:43 AM,6:47 AM,6:51 AM,6:53 AM,6:56 AM,7:03 AM
10,dx,6:55 AM,6:59 AM,7:04 AM,7:06 AM,7:09 AM,7:16 AM
10,dx,7:20 AM,7:24 AM,7:29 AM,7:31 AM,7:34 AM,7:41 AM
10,dx,7:36 AM,7:40 AM,7:45 AM,7:47 AM,7:50 AM,7:57 AM
10,dx,7:51 AM,7:55 AM,8:00 AM,8:02 AM,8:05 AM,8:12 AM
10,dx,8:06 AM,8:10 AM,8:15 AM,8:17 AM,8:20 AM,8:27 AM
10,dx,8:21 AM,8:25 AM,8:30 AM,8:32 AM,8:35 AM,8:42 AM
10,dx,8:36 AM,8:40 AM,8:45 AM,8:47 AM,8:50 AM,8:57 AM
10,dx,8:51 AM,8:55 AM,9:01 AM,9:03 AM,9:06 AM,9:13 AM
10,dx,9:06 AM,9:11 AM,9:17 AM,9:19 AM,9:22 AM,9:29 AM
10,dx,9:22 AM,9:27 AM,9:33 AM,9:35 AM,9:38 AM,9:45 AM
10,dx,9:38 AM,9:43 AM,9:49 AM,9:51 AM,9:54 AM,10:00 AM
10,dx,9:54 AM,9:59 AM,10:06 AM,10:08 AM,10:11 AM,10:17 AM
10,dx,10:11 AM,10:16 AM,10:23 AM,10:25 AM,10:28 AM,10:34 AM
10,dx,10:27 AM,10:32 AM,10:39 AM,10:41 AM,10:44 AM,10:50 AM
10,dx,10:44 AM,10:49 AM,10:56 AM,10:58 AM,11:01 AM,11:08 AM
10,dx,11:02 AM,11:07 AM,11:14 AM,11:16 AM,11:19 AM,11:26 AM
10,dx,11:23 AM,11:28 AM,11:35 AM,11:37 AM,11:40 AM,11:47 AM
10,dx,11:41 AM,11:46 AM,11:53 AM,11:55 AM,11:58 AM,12:05 PM
10,dx,12:01 PM,12:06 PM,12:13 PM,12:15 PM,12:18 PM,12:25 PM
10,dx,12:18 PM,12:23 PM,12:30 PM,12:32 PM,12:35 PM,12:42 PM
10,dx,12:35 PM,12:40 PM,12:47 PM,12:49 PM,12:52 PM,12:59 PM
10,dx,12:55 PM,1:00 PM,1:07 PM,1:09 PM,1:12 PM,1:19 PM
10,dx,1:12 PM,1:17 PM,1:24 PM,1:26 PM,1:29 PM,1:36 PM
10,dx,1:28 PM,1:33 PM,1:40 PM,1:42 PM,1:45 PM,1:52 PM
10,dx,1:48 PM,1:53 PM,2:00 PM,2:02 PM,2:05 PM,2:12 PM
10,dx,2:09 PM,2:14 PM,2:21 PM,2:23 PM,2:26 PM,2:33 PM
10,dx,2:27 PM,2:32 PM,2:39 PM,2:41 PM,2:44 PM,2:51 PM
10,dx,2:47 PM,2:52 PM,2:59 PM,3:01 PM,3:04 PM,3:11 PM
10,dx,3:04 PM,3:09 PM,3:15 PM,3:17 PM,3:20 PM,3:27 PM
10,dx,3:21 PM,3:26 PM,3:32 PM,3:34 PM,3:37 PM,3:44 PM
10,dx,3:41 PM,3:46 PM,3:52 PM,3:54 PM,3:57 PM,4:04 PM
10,dx,3:58 PM,4:03 PM,4:09 PM,4:11 PM,4:14 PM,4:21 PM
10,dx,4:16 PM,4:21 PM,4:27 PM,4:29 PM,4:32 PM,4:39 PM
10,dx,4:36 PM,4:41 PM,4:47 PM,4:49 PM,4:52 PM,4:59 PM
10,dx,4:51 PM,4:56 PM,5:03 PM,5:06 PM,5:10 PM,5:17 PM
10,dx,5:08 PM,5:13 PM,5:20 PM,5:23 PM,5:27 PM,5:34 PM
10,dx,5:28 PM,5:33 PM,5:40 PM,5:43 PM,5:47 PM,5:54 PM
10,dx,5:46 PM,5:51 PM,5:58 PM,6:01 PM,6:04 PM,6:10 PM
10,dx,6:03 PM,6:08 PM,6:14 PM,6:16 PM,6:19 PM,6:25 PM
10,dx,6:23 PM,6:28 PM,6:34 PM,6:36 PM,6:39 PM,6:45 PM
10,dx,6:40 PM,6:45 PM,6:51 PM,6:53 PM,6:56 PM,7:02 PM
10,dx,6:59 PM,7:04 PM,7:10 PM,7:12 PM,7:15 PM,7:21 PM
10,dx,7:18 PM,7:23 PM,7:29 PM,7:31 PM,7:34 PM,7:40 PM
