Route,Day,Green & Orange Grove,Colorado & Raymond,Lake & Colorado,Lake & Del Mar,Del Mar & Bonnie,Allen & Corson
10,sat,,,,,,
10,sat,10:46 AM,10:51 AM,10:56 AM,10:58 AM,11:01 AM,11:07 AM
10,sat,11:02 AM,11:07 AM,11:13 AM,11:15 AM,11:18 AM,11:24 AM
10,sat,11:19 AM,11:24 AM,11:30 AM,11:32 AM,11:35 AM,11:41 AM
10,sat,11:37 AM,11:42 AM,11:48 AM,11:50 AM,11:53 AM,11:59 AM
10,sat,11:54 AM,12:00 PM,12:06 PM,12:08 PM,12:11 PM,12:17 PM
10,sat,12:12 PM,12:18 PM,12:24 PM,12:26 PM,12:29 PM,12:35 PM
10,sat,12:30 PM,12:36 PM,12:42 PM,12:44 PM,12:47 PM,12:53 PM
10,sat,12:48 PM,12:54 PM,1:00 PM,1:02 PM,1:05 PM,1:11 PM
10,sat,1:05 PM,1:11 PM,1:17 PM,1:19 PM,1:22 PM,1:28 PM
10,sat,1:26 PM,1:32 PM,1:38 PM,1:40 PM,1:43 PM,1:49 PM
10,sat,1:44 PM,1:50 PM,1:56 PM,1:58 PM,2:01 PM,2:08 PM
10,sat,2:02 PM,2:08 PM,2:14 PM,2:16 PM,2:19 PM,2:26 PM
10,sat,2:20 PM,2:26 PM,2:32 PM,2:34 PM,2:37 PM,2:44 PM
10,sat,2:38 PM,2:44 PM,2:50 PM,2:52 PM,2:55 PM,3:01 PM
10,sat,2:56 PM,3:02 PM,3:08 PM,3:10 PM,3:13 PM,3:19 PM
10,sat,3:14 PM,3:20 PM,3:26 PM,3:28 PM,3:31 PM,3:37 PM
10,sat,3:31 PM,3:37 PM,3:43 PM,3:45 PM,3:48 PM,3:54 PM
10,sat,3:49 PM,3:55 PM,4:01 PM,4:03 PM,4:06 PM,4:12 PM
10,sat,4:07 PM,4:13 PM,4:19 PM,4:21 PM,4:24 PM,4:30 PM
10,sat,4:24 PM,4:30 PM,4:36 PM,4:38 PM,4:41 PM,4:47 PM
10,sat,4:42 PM,4:48 PM,4:54 PM,4:56 PM,4:59 PM,5:06 PM
10,sat,5:00 PM,5:06 PM,5:11 PM,5:13 PM,5:16 PM,5:23 PM
10,sat,5:16 PM,5:22 PM,5:27 PM,5:29 PM,5:32 PM,5:39 PM
10,sat,5:34 PM,5:40 PM,5:45 PM,5:47 PM,5:50 PM,5:57 PM
10,sat,5:52 PM,5:58 PM,6:03 PM,6:05 PM,6:08 PM,6:14 PM
10,sat,6:09 PM,6:15 PM,6:20 PM,6:22 PM,6:25 PM,6:31 PM
10,sat,6:26 PM,6:32 PM,6:37 PM,6:39 PM,6:42 PM,6:48 PM
10,sat,6:49 PM,6:55 PM,7:00 PM,7:02 PM,7:04 PM,7:10 PM
10,sat,7:06 PM,7:11 PM,7:16 PM,7:18 PM,7:20 PM,7:26 PM
10,sat,7:23 PM,7:28 PM,7:33 PM,7:35 PM,7:37 PM,7:43 PM
10,sat,7:39 PM,7:44 PM,7:49 PM,7:51 PM,7:53 PM,7:59 PM
