Route,Day,Fair Oaks & Woodbury,Fair Oaks & Washington,Raymond & Holly,Raymond & Del Mar Sta.,Arroyo Pkwy & California,Lake & Colorado,Lake & Villa,Lake & Washington,Woodbury & Raymond Ln
20,dx,5:41 AM,5:45 AM,5:53 AM,5:56 AM,6:04 AM,6:11 AM,6:15 AM,6:21 AM,6:27 AM
20,dx,6:03 AM,6:07 AM,6:15 AM,6:17 AM,6:25 AM,6:32 AM,6:36 AM,6:42 AM,6:48 AM
20,dx,6:12 AM,6:17 AM,6:25 AM,6:27 AM,6:35 AM,6:42 AM,6:46 AM,6:52 AM,6:58 AM
20,dx,6:36 AM,6:41 AM,6:49 AM,6:51 AM,6:59 AM,7:06 AM,7:10 AM,7:15 AM,7:21 AM
20,dx,6:59 AM,7:04 AM,7:15 AM,7:17 AM,7:27 AM,7:34 AM,7:38 AM,7:43 AM,7:49 AM
20,dx,7:09 AM,7:14 AM,7:25 AM,7:27 AM,7:37 AM,7:44 AM,7:48 AM,7:53 AM,7:59 AM
20,dx,7:32 AM,7:37 AM,7:48 AM,7:50 AM,8:01 AM,8:10 AM,8:15 AM,8:21 AM,8:27 AM
20,dx,8:00 AM,8:05 AM,8:16 AM,8:19 AM,8:30 AM,8:39 AM,8:44 AM,8:50 AM,8:56 AM
20,dx,8:20 AM,8:25 AM,8:36 AM,8:39 AM,8:50 AM,8:59 AM,9:04 AM,9:10 AM,9:16 AM
20,dx,8:39 AM,8:44 AM,8:55 AM,8:59 AM,9:10 AM,9:19 AM,9:24 AM,9:30 AM,9:36 AM
20,dx,9:07 AM,9:12 AM,9:22 AM,9:26 AM,9:37 AM,9:46 AM,9:51 AM,9:57 AM,10:03 AM
20,dx,9:27 AM,9:32 AM,9:42 AM,9:46 AM,9:57 AM,10:06 AM,10:11 AM,10:18 AM,10:24 AM
20,dx,9:48 AM,9:53 AM,10:04 AM,10:07 AM,10:19 AM,10:28 AM,10:33 AM,10:40 AM,10:46 AM
20,dx,10:14 AM,10:19 AM,10:30 AM,10:33 AM,10:45 AM,10:54 AM,10:59 AM,11:06 AM,11:12 AM
20,dx,10:35 AM,10:40 AM,10:51 AM,10:54 AM,11:06 AM,11:16 AM,11:22 AM,11:29 AM,11:35 AM
20,dx,10:58 AM,11:03 AM,11:14 AM,11:18 AM,11:29 AM,11:39 AM,11:45 AM,11:52 AM,11:58 AM
20,dx,11:23 AM,11:28 AM,11:39 AM,11:43 AM,11:54 AM,12:04 PM,12:10 PM,12:17 PM,12:23 PM
20,dx,11:46 AM,11:51 AM,12:02 PM,12:06 PM,12:18 PM,12:29 PM,12:34 PM,12:41 PM,12:47 PM
20,dx,12:11 PM,12:16 PM,12:27 PM,12:30 PM,12:42 PM,12:53 PM,12:58 PM,1:05 PM,1:11 PM
20,dx,12:35 PM,12:40 PM,12:51 PM,12:54 PM,1:06 PM,1:17 PM,1:22 PM,1:29 PM,1:35 PM
20,dx,12:59 PM,1:04 PM,1:14 PM,1:17 PM,1:30 PM,1:41 PM,1:46 PM,1:53 PM,1:59 PM
20,dx,1:24 PM,1:29 PM,1:39 PM,1:42 PM,1:55 PM,2:06 PM,2:11 PM,2:18 PM,2:24 PM
20,dx,1:47 PM,1:52 PM,2:02 PM,2:05 PM,2:17 PM,2:28 PM,2:33 PM,2:40 PM,2:46 PM
20,dx,2:11 PM,2:16 PM,2:26 PM,2:30 PM,2:42 PM,2:53 PM,2:58 PM,3:05 PM,3:11 PM
20,dx,2:39 PM,2:44 PM,2:54 PM,2:58 PM,3:11 PM,3:22 PM,3:27 PM,3:34 PM,3:40 PM
20,dx,3:01 PM,3:06 PM,3:16 PM,3:20 PM,3:33 PM,3:44 PM,3:49 PM,3:56 PM,4:02 PM
20,dx,3:23 PM,3:28 PM,3:38 PM,3:42 PM,3:55 PM,4:06 PM,4:12 PM,4:18 PM,4:24 PM
20,dx,3:51 PM,3:56 PM,4:06 PM,4:09 PM,4:21 PM,4:32 PM,4:38 PM,4:44 PM,4:50 PM
20,dx,4:13 PM,4:18 PM,4:28 PM,4:31 PM,4:43 PM,4:54 PM,5:00 PM,5:06 PM,5:12 PM
20,dx,4:38 PM,4:43 PM,4:53 PM,4:56 PM,5:08 PM,5:17 PM,5:22 PM,5:28 PM,5:34 PM
20,dx,5:01 PM,5:06 PM,5:16 PM,5:20 PM,5:32 PM,5:41 PM,5:46 PM,5:52 PM,5:58 PM
20,dx,5:23 PM,5:28 PM,5:38 PM,5:42 PM,5:54 PM,6:03 PM,6:08 PM,6:13 PM,6:19 PM
20,dx,5:45 PM,5:50 PM,6:00 PM,6:04 PM,6:14 PM,6:22 PM,6:27 PM,6:32 PM,6:38 PM
20,dx,6:09 PM,6:13 PM,6:22 PM,6:25 PM,6:35 PM,6:43 PM,6:48 PM,6:53 PM,6:59 PM
20,dx,6:30 PM,6:34 PM,6:43 PM,6:46 PM,6:56 PM,7:04 PM,7:09 PM,7:14 PM,7:20 PM
20,dx,6:49 PM,6:53 PM,7:02 PM,7:05 PM,7:13 PM,7:20 PM,7:24 PM,7:29 PM,7:35 PM
20,dx,7:05 PM,7:09 PM,7:17 PM,7:20 PM,7:28 PM,7:35 PM,7:39 PM,7:44 PM,7:50 PM
20,dx,7:26 PM,7:30 PM,7:38 PM,7:41 PM,7:49 PM,7:56 PM,8:00 PM,8:05 PM,8:11 PM
