Route,Day,Fair Oaks & Woodbury,Washington & Fair Oaks,Washington & Lake,Altadena & Washington,New York & Bradley,SMV & Station
32,sat,,,,,,
31,sat,10:45 AM,10:49 AM,10:53 AM,11:00 AM,,11:10 AM
32,sat,11:15 AM,11:19 AM,11:23 AM,11:29 AM,11:31 AM,11:37 AM
31,sat,11:45 AM,11:49 AM,11:53 AM,11:59 AM,,12:08 PM
32,sat,12:15 PM,12:19 PM,12:23 PM,12:29 PM,12:31 PM,12:37 PM
31,sat,12:47 PM,12:51 PM,12:55 PM,1:01 PM,,1:10 PM
32,sat,1:15 PM,1:19 PM,1:24 PM,1:30 PM,1:32 PM,1:38 PM
31,sat,1:45 PM,1:49 PM,1:54 PM,2:00 PM,,2:09 PM
32,sat,2:15 PM,2:20 PM,2:25 PM,2:31 PM,2:33 PM,2:39 PM
31,sat,2:45 PM,2:50 PM,2:55 PM,3:01 PM,,3:10 PM
32,sat,3:15 PM,3:19 PM,3:23 PM,3:29 PM,3:31 PM,3:37 PM
31,sat,3:45 PM,3:49 PM,3:53 PM,3:59 PM,,4:08 PM
32,sat,4:16 PM,4:20 PM,4:24 PM,4:30 PM,4:32 PM,4:38 PM
31,sat,4:48 PM,4:52 PM,4:56 PM,5:02 PM,,5:12 PM
32,sat,5:18 PM,5:22 PM,5:27 PM,5:33 PM,5:36 PM,5:42 PM
31,sat,5:48 PM,5:52 PM,5:57 PM,6:03 PM,,6:12 PM
32,sat,6:18 PM,6:22 PM,6:26 PM,6:32 PM,6:35 PM,6:41 PM
31,sat,6:48 PM,6:52 PM,6:56 PM,7:02 PM,,7:10 PM
32,sat,7:15 PM,7:19 PM,7:23 PM,7:29 PM,7:32 PM,7:38 PM
31,sat,7:43 PM,7:47 PM,7:51 PM,7:57 PM,,8:05 PM
