Route,Day,Raymond & Holly,Walnut & Garfield,Villa & Lake,Allen & Orange Grove,SMV & Station
40,dx,6:00 AM,6:05 AM,6:10 AM,6:17 AM,6:26 AM
40,dx,6:23 AM,6:28 AM,6:33 AM,6:40 AM,6:49 AM
40,dx,6:48 AM,6:53 AM,6:58 AM,7:06 AM,7:16 AM
40,dx,7:02 AM,7:07 AM,7:13 AM,7:21 AM,7:31 AM
40,dx,7:27 AM,7:32 AM,7:38 AM,7:46 AM,7:56 AM
40,dx,7:52 AM,7:57 AM,8:03 AM,8:10 AM,8:20 AM
40,dx,8:07 AM,8:13 AM,8:19 AM,8:26 AM,8:36 AM
40,dx,8:40 AM,8:46 AM,8:52 AM,8:59 AM,9:09 AM
40,dx,9:12 AM,9:18 AM,9:24 AM,9:31 AM,9:41 AM
40,dx,9:45 AM,9:51 AM,9:57 AM,10:04 AM,10:14 AM
40,dx,10:18 AM,10:24 AM,10:29 AM,10:36 AM,10:46 AM
40,dx,10:51 AM,10:57 AM,11:03 AM,11:09 AM,11:19 AM
40,dx,11:24 AM,11:30 AM,11:36 AM,11:42 AM,11:52 AM
40,dx,11:57 AM,12:03 PM,12:09 PM,12:15 PM,12:25 PM
40,dx,12:32 PM,12:38 PM,12:44 PM,12:50 PM,1:01 PM
40,dx,1:05 PM,1:11 PM,1:16 PM,1:23 PM,1:34 PM
40,dx,1:39 PM,1:45 PM,1:50 PM,1:57 PM,2:07 PM
40,dx,2:11 PM,2:17 PM,2:22 PM,2:29 PM,2:39 PM
40,dx,,,,,
40,dx,2:48 PM,2:54 PM,2:59 PM,3:06 PM,3:17 PM
40,dx,3:19 PM,3:24 PM,3:30 PM,3:37 PM,3:48 PM
40,dx,3:40 PM,3:45 PM,3:51 PM,3:58 PM,4:08 PM
40,dx,4:00 PM,4:06 PM,4:12 PM,4:19 PM,4:29 PM
40,dx,4:28 PM,4:34 PM,4:40 PM,4:47 PM,4:57 PM
40,dx,4:51 PM,4:57 PM,5:03 PM,5:10 PM,5:20 PM
40,dx,5:15 PM,5:21 PM,5:27 PM,5:34 PM,5:44 PM
40,dx,5:38 PM,5:44 PM,5:50 PM,5:57 PM,6:07 PM
40,dx,6:20 PM,6:26 PM,6:31 PM,6:37 PM,6:47 PM
40,dx,6:43 PM,6:49 PM,6:54 PM,7:00 PM,7:09 PM
40,dx,7:18 PM,7:24 PM,7:29 PM,7:35 PM,7:44 PM
