Route,Day,Raymond & Glenarm,Raymond & Holly,Mountain & Fair Oaks,JPL,Art Center & of Design
51,dx,6:07 AM,6:14 AM,6:18 AM,,6:30 AM
51,dx,,6:39 AM,6:43 AM,,6:55 AM
52,dx,6:59 AM,7:05 AM,7:11 AM,7:24 AM,7:35 AM
51,dx,7:29 AM,7:35 AM,7:41 AM,,7:56 AM
51,dx,8:11 AM,8:17 AM,8:22 AM,,8:36 AM
51,dx,9:13 AM,9:19 AM,9:24 AM,,9:38 AM
51,dx,10:11 AM,10:18 AM,10:23 AM,,10:37 AM
51,dx,11:10 AM,11:17 AM,11:22 AM,,11:36 AM
51,dx,12:13 PM,12:20 PM,12:25 PM,,12:39 PM
51,dx,1:13 PM,1:20 PM,1:25 PM,,1:39 PM
51,dx,2:12 PM,2:19 PM,2:24 PM,,2:38 PM
51,dx,3:12 PM,3:19 PM,3:25 PM,,3:39 PM
51,dx,4:00 PM,4:07 PM,4:13 PM,,4:27 PM
52,dx,4:34 PM,4:41 PM,4:47 PM,4:59 PM,5:09 PM
51,dx,5:08 PM,5:15 PM,5:21 PM,,5:35 PM
51,dx,5:45 PM,5:52 PM,5:58 PM,,6:12 PM
51,dx,6:19 PM,6:26 PM,6:32 PM,,6:46 PM
52,dx,6:53 PM,7:00 PM,7:05 PM,7:18 PM,7:28 PM
51,dx,7:20 PM,7:26 PM,7:31 PM,,
