Route,Day,Raymond & Holly,Fair Oaks & Mountain,Seco & Arroyo
51,sat,7:30 AM,7:35 AM,7:41 AM
51,sat,7:51 AM,7:56 AM,8:02 AM
51,sat,8:13 AM,8:18 AM,8:24 AM
51,sat,8:35 AM,8:40 AM,8:46 AM
51,sat,8:57 AM,9:02 AM,9:08 AM
51,sat,9:31 AM,9:36 AM,9:42 AM
51,sat,9:52 AM,9:57 AM,10:03 AM
51,sat,10:14 AM,10:19 AM,10:25 AM
51,sat,10:36 AM,10:41 AM,10:47 AM
51,sat,10:58 AM,11:03 AM,11:09 AM
51,sat,11:20 AM,11:25 AM,11:31 AM
51,sat,11:42 AM,11:47 AM,11:53 AM
51,sat,12:12 PM,12:17 PM,12:23 PM
51,sat,12:34 PM,12:39 PM,12:45 PM
51,sat,12:56 PM,1:01 PM,1:07 PM
51,sat,1:21 PM,1:26 PM,1:32 PM
51,sat,1:42 PM,1:47 PM,1:53 PM
51,sat,2:03 PM,2:08 PM,2:14 PM
51,sat,2:24 PM,2:29 PM,2:35 PM
51,sat,2:45 PM,2:50 PM,2:56 PM
51,sat,3:07 PM,3:12 PM,3:18 PM
51,sat,3:42 PM,3:47 PM,3:53 PM
51,sat,4:04 PM,4:09 PM,4:15 PM
51,sat,4:26 PM,4:31 PM,4:37 PM
51,sat,4:48 PM,4:53 PM,4:59 PM
51,sat,5:09 PM,5:14 PM,5:20 PM
51,sat,5:30 PM,5:35 PM,5:41 PM
51,sat,5:59 PM,6:04 PM,6:10 PM
51,sat,6:20 PM,6:25 PM,6:31 PM
51,sat,6:41 PM,6:46 PM,6:52 PM
51,sat,7:10 PM,7:15 PM,7:21 PM
51,sat,7:39 PM,7:44 PM,7:50 PM
