Route,Day,Bonnie & Colorado,Del Mar Kinneloa & (Urgent Care),SMV & Station,Sierra Madre & Michillinda
60,dx,5:58 AM,6:05 AM,6:09 AM,6:16 AM
60,dx,6:41 AM,6:48 AM,6:52 AM,7:01 AM
60,dx,7:33 AM,7:41 AM,7:45 AM,7:54 AM
60,dx,8:23 AM,8:32 AM,8:36 AM,8:44 AM
60,dx,9:12 AM,9:20 AM,9:24 AM,9:32 AM
60,dx,9:58 AM,10:06 AM,10:10 AM,10:18 AM
60,dx,,,,
60,dx,2:45 PM,2:54 PM,2:59 PM,3:08 PM
60,dx,3:31 PM,3:40 PM,3:45 PM,3:54 PM
60,dx,4:18 PM,4:27 PM,4:32 PM,4:41 PM
60,dx,5:17 PM,5:26 PM,5:31 PM,5:41 PM
60,dx,6:06 PM,6:14 PM,6:19 PM,6:28 PM
60,dx,6:47 PM,6:55 PM,7:00 PM,7:09 PM
