Route,Day,Allen & Corson,Del Mar & Bonnie,Lake & Del Mar,Colorado & Lake,Colorado & Raymond,Colorado & De Lacey,Green & Orange Grove
10,dx,5:59 AM,6:02 AM,6:05 AM,6:06 AM,6:10 AM,,6:14 AM
10,dx,6:15 AM,6:18 AM,6:21 AM,6:22 AM,6:26 AM,,6:30 AM
10,dx,6:40 AM,6:43 AM,6:46 AM,6:47 AM,6:51 AM,,6:55 AM
10,dx,7:02 AM,7:06 AM,7:09 AM,7:11 AM,7:16 AM,,7:20 AM
10,dx,7:16 AM,7:20 AM,7:23 AM,7:25 AM,7:30 AM,,7:34 AM
10,dx,7:29 AM,7:33 AM,7:36 AM,7:38 AM,7:43 AM,,7:47 AM
10,dx,7:48 AM,7:52 AM,7:55 AM,7:57 AM,8:02 AM,,8:06 AM
10,dx,8:04 AM,8:07 AM,8:10 AM,8:12 AM,8:17 AM,,8:21 AM
10,dx,8:19 AM,8:22 AM,8:25 AM,8:27 AM,8:32 AM,,8:36 AM
10,dx,8:34 AM,8:37 AM,8:40 AM,8:42 AM,8:47 AM,,8:51 AM
10,dx,8:49 AM,8:52 AM,8:55 AM,8:57 AM,9:02 AM,,9:06 AM
10,dx,9:04 AM,9:07 AM,9:11 AM,9:13 AM,9:18 AM,,9:22 AM
10,dx,9:20 AM,9:23 AM,9:27 AM,9:29 AM,9:34 AM,,9:38 AM
10,dx,9:36 AM,9:39 AM,9:43 AM,9:45 AM,9:50 AM,,9:54 AM
10,dx,9:52 AM,9:55 AM,9:59 AM,10:01 AM,10:07 AM,,10:11 AM
10,dx,10:07 AM,10:11 AM,10:15 AM,10:17 AM,10:23 AM,,10:27 AM
10,dx,10:24 AM,10:28 AM,10:32 AM,10:34 AM,10:40 AM,,10:44 AM
10,dx,10:41 AM,10:45 AM,10:49 AM,10:51 AM,10:57 AM,,11:02 AM
10,dx,11:03 AM,11:06 AM,11:10 AM,11:12 AM,11:18 AM,,11:23 AM
10,dx,11:21 AM,11:24 AM,11:28 AM,11:30 AM,11:36 AM,,11:41 AM
10,dx,11:39 AM,11:42 AM,11:46 AM,11:48 AM,11:54 AM,,11:59 AM
10,dx,11:54 AM,11:57 AM,12:01 PM,12:04 PM,12:10 PM,,12:15 PM
10,dx,12:12 PM,12:15 PM,12:19 PM,12:22 PM,12:28 PM,,12:33 PM
10,dx,12:32 PM,12:35 PM,12:39 PM,12:42 PM,12:48 PM,,12:53 PM
10,dx,12:49 PM,12:52 PM,12:56 PM,12:59 PM,1:05 PM,,1:10 PM
10,dx,1:06 PM,1:09 PM,1:13 PM,1:15 PM,1:21 PM,,1:26 PM
10,dx,1:26 PM,1:29 PM,1:33 PM,1:35 PM,1:41 PM,,1:46 PM
10,dx,1:49 PM,1:52 PM,1:56 PM,1:58 PM,2:04 PM,,2:09 PM
10,dx,2:05 PM,2:08 PM,2:12 PM,2:14 PM,2:20 PM,,2:25 PM
10,dx,2:25 PM,2:28 PM,2:32 PM,2:34 PM,2:40 PM,,2:45 PM
10,dx,2:40 PM,2:43 PM,2:47 PM,2:49 PM,2:55 PM,,3:00 PM
10,dx,2:59 PM,3:03 PM,3:07 PM,3:09 PM,3:15 PM,,3:20 PM
10,dx,3:18 PM,3:22 PM,3:26 PM,3:28 PM,3:34 PM,,3:39 PM
10,dx,3:34 PM,3:38 PM,3:42 PM,3:44 PM,3:50 PM,,3:55 PM
10,dx,3:51 PM,3:55 PM,3:59 PM,4:01 PM,4:07 PM,,4:12 PM
10,dx,4:11 PM,4:14 PM,4:18 PM,4:20 PM,4:26 PM,,4:31 PM
10,dx,4:28 PM,4:31 PM,4:35 PM,4:37 PM,4:43 PM,,4:48 PM
10,dx,4:46 PM,4:49 PM,4:53 PM,4:55 PM,5:01 PM,,5:06 PM
10,dx,5:06 PM,5:09 PM,5:13 PM,5:15 PM,5:21 PM,,5:26 PM
10,dx,5:24 PM,5:27 PM,5:31 PM,5:33 PM,5:39 PM,,5:44 PM
10,dx,5:41 PM,5:44 PM,5:48 PM,5:50 PM,5:56 PM,,6:01 PM
10,dx,6:01 PM,6:04 PM,6:08 PM,6:10 PM,6:16 PM,,6:21 PM
10,dx,6:17 PM,6:20 PM,6:24 PM,6:26 PM,6:32 PM,,6:37 PM
10,dx,6:32 PM,6:35 PM,6:39 PM,6:41 PM,6:47 PM,,6:52 PM
10,dx,6:52 PM,6:55 PM,6:59 PM,7:01 PM,7:06 PM,,7:11 PM
10,dx,7:09 PM,7:12 PM,7:15 PM,7:17 PM,7:22 PM,,7:27 PM
10,dx,7:28 PM,7:31 PM,7:34 PM,7:36 PM,7:41 PM,7:43 PM,
10,dx,7:47 PM,7:50 PM,7:53 PM,7:55 PM,8:00 PM,8:02 PM,
