Route,Day,Allen & Corson,Del Mar & Bonnie,Lake & Del Mar,Colorado & Lake,Colorado & Raymond,Colorado & De Lacey,Green & Orange Grove
10,sat,10:55 AM,10:58 AM,11:01 AM,11:03 AM,11:09 AM,,11:14 AM
10,sat,11:14 AM,11:17 AM,11:20 AM,11:22 AM,11:28 AM,,11:33 AM
10,sat,11:31 AM,11:34 AM,11:37 AM,11:39 AM,11:45 AM,,11:50 AM
10,sat,11:51 AM,11:54 AM,11:57 AM,11:59 AM,12:05 PM,,12:10 PM
10,sat,12:06 PM,12:09 PM,12:13 PM,12:15 PM,12:21 PM,,12:26 PM
10,sat,12:24 PM,12:27 PM,12:31 PM,12:33 PM,12:39 PM,,12:44 PM
10,sat,12:42 PM,12:45 PM,12:49 PM,12:51 PM,12:57 PM,,1:02 PM
10,sat,1:06 PM,1:09 PM,1:12 PM,1:14 PM,1:21 PM,,1:26 PM
10,sat,1:24 PM,1:27 PM,1:30 PM,1:32 PM,1:39 PM,,1:44 PM
10,sat,1:41 PM,1:44 PM,1:47 PM,1:49 PM,1:56 PM,,2:02 PM
10,sat,1:56 PM,1:59 PM,2:02 PM,2:04 PM,2:11 PM,,2:17 PM
10,sat,2:15 PM,2:18 PM,2:21 PM,2:23 PM,2:30 PM,,2:36 PM
10,sat,2:33 PM,2:36 PM,2:39 PM,2:41 PM,2:48 PM,,2:54 PM
10,sat,2:51 PM,2:54 PM,2:57 PM,2:59 PM,3:06 PM,,3:12 PM
10,sat,3:08 PM,3:11 PM,3:14 PM,3:16 PM,3:23 PM,,3:29 PM
10,sat,3:26 PM,3:29 PM,3:32 PM,3:34 PM,3:41 PM,,3:47 PM
10,sat,3:44 PM,3:47 PM,3:50 PM,3:52 PM,3:59 PM,,4:05 PM
10,sat,4:01 PM,4:04 PM,4:07 PM,4:09 PM,4:16 PM,,4:22 PM
10,sat,4:19 PM,4:22 PM,4:25 PM,4:27 PM,4:34 PM,,4:40 PM
10,sat,4:37 PM,4:40 PM,4:43 PM,4:45 PM,4:52 PM,,4:58 PM
10,sat,4:54 PM,4:57 PM,5:00 PM,5:02 PM,5:09 PM,,5:15 PM
10,sat,5:13 PM,5:16 PM,5:19 PM,5:21 PM,5:28 PM,,5:34 PM
10,sat,5:30 PM,5:33 PM,5:36 PM,5:38 PM,5:45 PM,,5:51 PM
10,sat,5:46 PM,5:49 PM,5:52 PM,5:54 PM,6:01 PM,,6:06 PM
10,sat,6:04 PM,6:07 PM,6:10 PM,6:12 PM,6:19 PM,,6:24 PM
10,sat,6:27 PM,6:30 PM,6:33 PM,6:35 PM,6:42 PM,,6:47 PM
10,sat,6:44 PM,6:47 PM,6:50 PM,6:52 PM,6:59 PM,,7:04 PM
10,sat,7:01 PM,7:04 PM,7:07 PM,7:09 PM,7:16 PM,,7:21 PM
10,sat,7:17 PM,7:20 PM,7:23 PM,7:25 PM,7:32 PM,,7:37 PM
10,sat,7:33 PM,7:36 PM,7:39 PM,7:41 PM,7:48 PM,7:51 PM,
10,sat,7:50 PM,7:53 PM,7:56 PM,7:58 PM,8:05 PM,8:08 PM,
10,sat,,,,,,,
