Route,Day,Woodbury & Raymond Ln,Woodbury & Fair Oaks
20,dx,6:35 AM,6:36 AM
20,dx,6:58 AM,6:59 AM
20,dx,7:08 AM,7:09 AM
20,dx,7:31 AM,7:32 AM
20,dx,7:59 AM,8:00 AM
20,dx,8:19 AM,8:20 AM
20,dx,8:38 AM,8:39 AM
20,dx,9:06 AM,9:07 AM
20,dx,9:26 AM,9:27 AM
20,dx,9:47 AM,9:48 AM
20,dx,10:13 AM,10:14 AM
20,dx,10:34 AM,10:35 AM
20,dx,10:57 AM,10:58 AM
20,dx,11:22 AM,11:23 AM
20,dx,11:45 AM,11:46 AM
20,dx,12:10 PM,12:11 PM
20,dx,12:34 PM,12:35 PM
20,dx,12:58 PM,12:59 PM
20,dx,1:23 PM,1:24 PM
20,dx,1:46 PM,1:47 PM
20,dx,2:10 PM,2:11 PM
20,dx,2:38 PM,2:39 PM
20,dx,3:00 PM,3:01 PM
20,dx,3:22 PM,3:23 PM
20,dx,3:50 PM,3:51 PM
20,dx,4:12 PM,4:13 PM
20,dx,4:37 PM,4:38 PM
20,dx,5:00 PM,5:01 PM
20,dx,5:22 PM,5:23 PM
20,dx,5:44 PM,5:45 PM
20,dx,6:08 PM,6:09 PM
20,dx,6:29 PM,6:30 PM
20,dx,6:48 PM,6:49 PM
20,dx,7:04 PM,7:05 PM
20,dx,7:25 PM,7:26 PM
20,dx,,
20,dx,,
20,dx,,
