Route,Day,SMV & Station,New York & Bradley,Washington & Altadena,Washington & Lake,Washington & Fair Oaks,Woodbury & Glen,Fair Oaks & Woodbury
32,sat,10:49 AM,10:54 AM,10:57 AM,11:02 AM,11:06 AM,11:13 AM,11:15 AM
31,sat,11:18 AM,,11:28 AM,11:33 AM,11:37 AM,11:44 AM,11:45 AM
32,sat,11:50 AM,11:55 AM,11:58 AM,12:04 PM,12:08 PM,,12:15 PM
31,sat,12:21 PM,,12:30 PM,12:36 PM,12:40 PM,,12:47 PM
32,sat,12:45 PM,12:50 PM,12:53 PM,12:59 PM,1:03 PM,1:10 PM,1:15 PM
31,sat,1:18 PM,,1:27 PM,1:33 PM,1:37 PM,1:44 PM,1:45 PM
32,sat,1:46 PM,1:51 PM,1:54 PM,2:00 PM,2:04 PM,2:11 PM,2:15 PM
31,sat,2:17 PM,,2:26 PM,2:32 PM,2:36 PM,2:43 PM,2:45 PM
32,sat,2:47 PM,2:52 PM,2:55 PM,3:01 PM,3:06 PM,3:13 PM,3:15 PM
31,sat,3:18 PM,,3:27 PM,3:33 PM,3:38 PM,,3:45 PM
32,sat,3:50 PM,3:55 PM,3:58 PM,4:04 PM,4:09 PM,,4:16 PM
31,sat,4:21 PM,,4:30 PM,4:36 PM,4:41 PM,,4:48 PM
32,sat,4:46 PM,4:51 PM,4:54 PM,5:00 PM,5:05 PM,5:12 PM,5:18 PM
31,sat,5:20 PM,,5:29 PM,5:35 PM,5:40 PM,5:47 PM,5:48 PM
32,sat,5:50 PM,5:55 PM,5:58 PM,6:04 PM,6:08 PM,6:15 PM,6:18 PM
31,sat,6:20 PM,,6:29 PM,6:35 PM,6:39 PM,6:46 PM,6:48 PM
32,sat,6:49 PM,6:54 PM,6:57 PM,7:02 PM,7:06 PM,7:13 PM,7:15 PM
31,sat,7:18 PM,,7:26 PM,7:31 PM,7:35 PM,7:42 PM,7:43 PM
32,sat,,,,,,,
31,sat,,,,,,,
