Route,Day,SMV & Station,Allen & Orange Grove,Villa & Lake,Walnut & Garfield,Raymond & Holly
40,dx,6:36 AM,6:48 AM,6:52 AM,6:57 AM,6:59 AM
40,dx,6:59 AM,7:10 AM,7:15 AM,7:20 AM,7:22 AM
40,dx,7:26 AM,7:37 AM,7:42 AM,7:47 AM,7:49 AM
40,dx,7:41 AM,7:52 AM,7:57 AM,8:02 AM,8:04 AM
40,dx,8:14 AM,8:25 AM,8:30 AM,8:35 AM,8:37 AM
40,dx,8:30 AM,8:41 AM,8:46 AM,8:51 AM,8:53 AM
40,dx,8:46 AM,8:57 AM,9:02 AM,9:07 AM,9:09 AM
40,dx,9:19 AM,9:30 AM,9:35 AM,9:40 AM,9:42 AM
40,dx,9:51 AM,10:03 AM,10:08 AM,10:13 AM,10:15 AM
40,dx,10:24 AM,10:36 AM,10:41 AM,10:46 AM,10:48 AM
40,dx,10:56 AM,11:09 AM,11:14 AM,11:19 AM,11:21 AM
40,dx,11:29 AM,11:42 AM,11:47 AM,11:52 AM,11:54 AM
40,dx,12:05 PM,12:18 PM,12:23 PM,12:28 PM,12:30 PM
40,dx,12:38 PM,12:51 PM,12:56 PM,1:01 PM,1:03 PM
40,dx,1:11 PM,1:24 PM,1:29 PM,1:34 PM,1:36 PM
40,dx,1:44 PM,1:57 PM,2:02 PM,2:07 PM,2:09 PM
40,dx,2:17 PM,2:30 PM,2:35 PM,2:40 PM,2:42 PM
40,dx,2:49 PM,3:03 PM,3:08 PM,3:14 PM,3:16 PM
40,dx,3:10 PM,3:24 PM,3:29 PM,3:35 PM,3:37 PM
40,dx,3:27 PM,3:41 PM,3:46 PM,3:52 PM,3:54 PM
40,dx,3:58 PM,4:12 PM,4:17 PM,4:23 PM,4:25 PM
40,dx,4:21 PM,4:35 PM,4:40 PM,4:46 PM,4:48 PM
40,dx,4:45 PM,4:59 PM,5:04 PM,5:10 PM,5:12 PM
40,dx,5:07 PM,5:22 PM,5:27 PM,5:33 PM,5:35 PM
40,dx,5:30 PM,5:45 PM,5:50 PM,5:56 PM,5:58 PM
40,dx,5:54 PM,6:08 PM,6:13 PM,6:18 PM,6:20 PM
40,dx,6:17 PM,6:31 PM,6:36 PM,6:41 PM,6:43 PM
40,dx,6:55 PM,7:07 PM,7:11 PM,7:16 PM,7:18 PM
40,dx,7:17 PM,7:29 PM,7:33 PM,7:38 PM,7:40 PM
40,dx,,,,,
