Route,Day,Art Center & of Design,Fair Oaks & Mountain,Raymond & Holly,Raymond & Glenarm
51,dx,6:38 AM,6:49 AM,6:53 AM,6:59 AM
51,dx,7:05 AM,7:16 AM,7:21 AM,7:29 AM
52,dx,7:44 AM,7:55 AM,8:00 AM,8:08 AM
51,dx,,,,
51,dx,8:49 AM,9:00 AM,9:05 AM,9:13 AM
51,dx,9:45 AM,9:56 AM,10:01 AM,10:09 AM
51,dx,10:44 AM,10:56 AM,11:01 AM,11:10 AM
51,dx,11:49 AM,12:00 PM,12:05 PM,12:13 PM
51,dx,12:46 PM,12:57 PM,1:02 PM,1:10 PM
51,dx,1:46 PM,1:57 PM,2:02 PM,2:10 PM
51,dx,2:45 PM,2:57 PM,3:02 PM,3:10 PM
51,dx,4:03 PM,4:16 PM,4:21 PM,4:31 PM
51,dx,4:33 PM,4:46 PM,4:51 PM,5:01 PM
52,dx,5:16 PM,5:28 PM,5:33 PM,5:42 PM
51,dx,5:48 PM,6:00 PM,6:05 PM,6:13 PM
51,dx,6:25 PM,6:37 PM,6:42 PM,6:50 PM
51,dx,6:53 PM,7:05 PM,7:09 PM,7:17 PM
52,dx,7:34 PM,7:46 PM,7:50 PM,7:58 PM
51,dx,,,,
