Route,Day,Seco & Arroyo,Fair Oaks & Mountain,Raymond & Holly
51,sat,7:43 AM,7:46 AM,7:51 AM
51,sat,8:04 AM,8:08 AM,8:13 AM
51,sat,8:26 AM,8:30 AM,8:35 AM
51,sat,8:48 AM,8:52 AM,8:57 AM
51,sat,9:23 AM,9:26 AM,9:31 AM
51,sat,9:44 AM,9:47 AM,9:52 AM
51,sat,10:05 AM,10:09 AM,10:14 AM
51,sat,10:27 AM,10:31 AM,10:36 AM
51,sat,10:49 AM,10:53 AM,10:58 AM
51,sat,11:11 AM,11:15 AM,11:20 AM
51,sat,11:33 AM,11:37 AM,11:42 AM
51,sat,12:03 PM,12:07 PM,12:12 PM
51,sat,12:25 PM,12:29 PM,12:34 PM
51,sat,12:47 PM,12:51 PM,12:56 PM
51,sat,1:09 PM,1:12 PM,1:17 PM
51,sat,1:34 PM,1:37 PM,1:42 PM
51,sat,1:55 PM,1:58 PM,2:03 PM
51,sat,2:16 PM,2:19 PM,2:24 PM
51,sat,2:37 PM,2:40 PM,2:45 PM
51,sat,2:58 PM,3:02 PM,3:07 PM
51,sat,3:33 PM,3:37 PM,3:42 PM
51,sat,3:55 PM,3:59 PM,4:04 PM
51,sat,4:17 PM,4:21 PM,4:26 PM
51,sat,4:39 PM,4:43 PM,4:48 PM
51,sat,5:01 PM,5:04 PM,5:09 PM
51,sat,5:22 PM,5:25 PM,5:30 PM
51,sat,5:51 PM,5:54 PM,5:59 PM
51,sat,6:12 PM,6:15 PM,6:20 PM
51,sat,6:33 PM,6:36 PM,6:41 PM
51,sat,7:02 PM,7:05 PM,7:10 PM
51,sat,7:31 PM,7:35 PM,7:39 PM
51,sat,8:00 PM,8:04 PM,8:08 PM
