Route,Day,Sierra Madre & Michillinda,SMV & Station,Del Mar Kinneloa & (Urgent Care),Bonnie & Colorado
60,dx,6:20 AM,6:25 AM,6:31 AM,6:36 AM
60,dx,7:03 AM,7:09 AM,7:15 AM,7:20 AM
60,dx,7:58 AM,8:04 AM,8:10 AM,8:16 AM
60,dx,8:47 AM,8:53 AM,8:59 AM,9:04 AM
60,dx,9:36 AM,9:42 AM,9:48 AM,9:53 AM
60,dx,10:19 AM,10:25 AM,10:31 AM,10:36 AM
60,dx,,,,
60,dx,3:08 PM,3:14 PM,3:20 PM,3:25 PM
60,dx,3:56 PM,4:03 PM,4:10 PM,4:15 PM
60,dx,4:45 PM,4:52 PM,4:59 PM,5:04 PM
60,dx,5:45 PM,5:52 PM,5:59 PM,6:03 PM
60,dx,6:30 PM,6:37 PM,6:43 PM,6:47 PM
60,dx,7:13 PM,7:20 PM,7:26 PM,7:30 PM
