Date,FareProduct,TransitCard,PaymentType,BusNo,TransactionType,SeqNo,GrpQty,TotalCost,Bonus,Change,TotalChange,ValueLeft,RidesLeft,RenewedAdvCount,Status,Company,Vehicle,Hour,Minute,Trip No,Route,Departure,Arrival,Avg Departure Diff,Avg Scheduled Travel,Avg Arrival Diff
2016-01-19 06:42:00,Reg SV Regular,1.6e+14,,3209,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,4.25,Unlmtd,,Success,First Transit,3209,6,39,502001,51,2016-01-19 06:40:51,2016-01-19 06:54:22,1.9,16,-0.6
2016-01-19 06:42:00,Reg SV Regular,1.6e+14,,3209,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,4.25,Unlmtd,,Success,First Transit,3209,6,39,502001,51,2016-01-19 06:40:51,2016-01-19 06:44:21,1.9,4,1.4
2016-01-19 07:16:00,Reg SV Regular,1.6e+14,,3209,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,29.75,Unlmtd,,Success,First Transit,3209,7,5,502002,51,2016-01-19 07:06:06,2016-01-19 07:29:36,1.1,24,0.6
2016-01-19 07:16:00,Reg SV Regular,1.6e+14,,3209,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,29.75,Unlmtd,,Success,First Transit,3209,7,5,502002,51,2016-01-19 07:06:06,2016-01-19 07:17:21,1.1,11,1.4
2016-01-19 07:34:00,EZ Pass AdultZ0,1.6e+14,,3209,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3209,7,29,502003,51,2016-01-19 07:30:21,2016-01-19 07:52:52,1.4,27,-3.1
2016-01-19 07:34:00,EZ Pass AdultZ0,1.6e+14,,3209,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3209,7,29,502003,51,2016-01-19 07:30:21,2016-01-19 07:35:36,1.4,6,0.6
2016-01-19 07:38:00,Reg SV Regular,1.6e+14,,3209,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,5.25,Unlmtd,,Success,First Transit,3209,7,29,502003,51,2016-01-19 07:30:21,2016-01-19 07:52:52,1.4,27,-3.1
2016-01-19 07:42:00,Reg SV Regular,1.6e+14,,3209,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,13.75,Unlmtd,,Success,First Transit,3209,7,29,502003,51,2016-01-19 07:30:21,2016-01-19 07:52:52,1.4,27,-3.1
2016-01-19 07:42:00,Reg SV Regular,1.6e+14,,3209,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,13.75,Unlmtd,,Success,First Transit,3209,7,41,502003,51,2016-01-19 07:41:36,2016-01-19 07:52:52,0.6,15,-3.1
2016-01-19 13:59:00,ASI,1.6e+14,,3209,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3209,13,46,501103,51,2016-01-19 13:45:47,2016-01-19 14:12:00,-0.2,24,2.0
2016-01-19 13:59:00,ASI,1.6e+14,,3209,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3209,13,57,501103,51,2016-01-19 13:57:45,2016-01-19 14:02:00,0.8,5,0.0
2016-01-19 14:18:00,ASI,1.6e+14,,3209,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3209,14,12,501104,51,2016-01-19 14:12:15,2016-01-19 14:39:00,0.3,26,1.0
2016-01-19 14:18:00,ASI,1.6e+14,,3209,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3209,14,12,501104,51,2016-01-19 14:12:15,2016-01-19 14:18:46,0.3,7,-0.2
