Date,FareProduct,TransitCard,PaymentType,BusNo,TransactionType,SeqNo,GrpQty,TotalCost,Bonus,Change,TotalChange,ValueLeft,RidesLeft,RenewedAdvCount,Status,Company,Vehicle,Hour,Minute,Trip No,Route,Departure,Arrival,Avg Departure Diff,Avg Scheduled Travel,Avg Arrival Diff
2016-04-21 05:43:12,EZ Pass AdultZ0,160008252699672,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3219,5,41,293001,20cc,2016-04-21 05:42:13,2016-04-21 06:36:43,1.2,55.0,0.7
2016-04-21 06:18:07,ASI,160036514916436,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,1.75,Unlmtd,0.0,Success,First Transit,3219,5,41,293001,20cc,2016-04-21 05:42:13,2016-04-21 06:36:43,1.2,55.0,0.7
2016-04-21 06:37:39,Reg SV Regular,160039950448245,,3219,SV Entry (Tag On),,1,0.75,0.0,-0.75,-0.75,7.25,Unlmtd,,Success,First Transit,3219,6,36,293002,20cc,2016-04-21 06:37:13,2016-04-21 07:32:58,1.2,56.0,1.0
2016-04-21 06:41:23,ASI,160008054621916,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3219,6,36,293002,20cc,2016-04-21 06:37:13,2016-04-21 07:32:58,1.2,56.0,1.0
2016-04-21 06:42:24,EZ Pass S/D Z0,160005805298390,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3219,6,36,293002,20cc,2016-04-21 06:37:13,2016-04-21 07:32:58,1.2,56.0,1.0
2016-04-21 06:50:14,ASI,160036515043792,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3219,6,36,293002,20cc,2016-04-21 06:37:13,2016-04-21 07:32:58,1.2,56.0,1.0
2016-04-21 06:52:13,Reg SV Regular,160005601094233,,3219,SV Entry (Tag On),,1,0.75,0.0,-0.75,-0.75,21.75,Unlmtd,,Success,First Transit,3219,6,36,293002,20cc,2016-04-21 06:37:13,2016-04-21 07:32:58,1.2,56.0,1.0
2016-04-21 08:42:35,ASI,160005847711830,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3219,8,39,293004,20cc,2016-04-21 08:40:58,2016-04-21 09:48:43,2.0,69.0,0.7
2016-04-21 08:47:35,ASI,160008050520369,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3219,8,39,293004,20cc,2016-04-21 08:40:58,2016-04-21 09:48:43,2.0,69.0,0.7
2016-04-21 08:48:28,Reg SV Regular,1701628579584569609,,3219,SV Entry (Tag On),,1,0.75,0.0,-0.75,-0.75,8.75,Unlmtd,,Success,First Transit,3219,8,39,293004,20cc,2016-04-21 08:40:58,2016-04-21 09:48:43,2.0,69.0,0.7
