Date,FareProduct,TransitCard,PaymentType,BusNo,TransactionType,SeqNo,GrpQty,TotalCost,Bonus,Change,TotalChange,ValueLeft,RidesLeft,RenewedAdvCount,Status,Company,Vehicle,Hour,Minute,Trip No,Route,20cc,51,52,60,32,31,20cw,10,40,51s,Departure,Arrival,Avg Departure Diff,Avg Scheduled Travel,Avg Arrival Diff
42471.35,ASI,1.60E+14,,3219,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success,First Transit,3219,8,20,292003,20cc,1,0,0,0,0,0,0,0,0,0,4/11/2016 8:21,4/11/2016 9:29,1.6,67,2.1
42471.35,ASI,1.60E+14,,3219,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success,First Transit,3219,8,20,292003,20cc,1,0,0,0,0,0,0,0,0,0,4/11/2016 8:21,4/11/2016 9:29,1.6,67,2.1
42471.35,ASI,1.60E+14,,3219,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success,First Transit,3219,8,20,292003,20cc,1,0,0,0,0,0,0,0,0,0,4/11/2016 8:21,4/11/2016 9:29,1.6,67,2.1
42471.38,ASI,1.60E+14,,3219,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success,First Transit,3219,8,20,292003,20cc,1,0,0,0,0,0,0,0,0,0,4/11/2016 8:21,4/11/2016 9:29,1.6,67,2.1
42471.40,ASI,1.60E+14,,3219,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success,First Transit,3219,9,27,292004,20cc,1,0,0,0,0,0,0,0,0,0,4/11/2016 9:29,4/11/2016 10:35,2.8,68,0.8
42471.40,ASI,1.60E+14,,3219,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success,First Transit,3219,9,27,292004,20cc,1,0,0,0,0,0,0,0,0,0,4/11/2016 9:29,4/11/2016 10:35,2.8,68,0.8
42471.40,ASI,1.60E+14,,3219,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success,First Transit,3219,9,27,292004,20cc,1,0,0,0,0,0,0,0,0,0,4/11/2016 9:29,4/11/2016 10:35,2.8,68,0.8
42471.40,Reg SV Regular,1.60E+14,,3219,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,17.9,Unlmtd,,Success,First Transit,3219,9,27,292004,20cc,1,0,0,0,0,0,0,0,0,0,4/11/2016 9:29,4/11/2016 10:35,2.8,68,0.8
42471.40,ASI,1.60E+14,,3219,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success,First Transit,3219,9,27,292004,20cc,1,0,0,0,0,0,0,0,0,0,4/11/2016 9:29,4/11/2016 10:35,2.8,68,0.8
42471.40,ASI,1.60E+14,,3219,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success,First Transit,3219,9,27,292004,20cc,1,0,0,0,0,0,0,0,0,0,4/11/2016 9:29,4/11/2016 10:35,2.8,68,0.8
