,Date,FareProduct,TransitCard,TransactionType,Hour,Minute,Route,Departure,Arrival,Avg Arrival Diff,station
0,2016-04-11 08:26:54,ASI,160005670676951,Pass Entry (Tag On),8,20,20cc,2016-04-11 08:21:34,2016-04-11 09:29:04,2.1,Fair Oaks & Washington
1,2016-04-11 08:27:20,ASI,160005741828631,Pass Entry (Tag On),8,20,20cc,2016-04-11 08:21:34,2016-04-11 09:29:04,2.1,Fair Oaks & Washington
2,2016-04-11 08:27:24,ASI,160005586580958,Pass Entry (Tag On),8,20,20cc,2016-04-11 08:21:34,2016-04-11 09:29:04,2.1,Fair Oaks & Washington
3,2016-04-11 09:08:16,ASI,160005586927191,Pass Entry (Tag On),8,20,20cc,2016-04-11 08:21:34,2016-04-11 09:29:04,2.1,Lake & Washington
4,2016-04-11 09:35:19,ASI,160011833210944,Pass Entry (Tag On),9,27,20cc,2016-04-11 09:29:49,2016-04-11 10:35:49,0.8,Fair Oaks & Washington
5,2016-04-11 09:35:22,ASI,160005327771031,Pass Entry (Tag On),9,27,20cc,2016-04-11 09:29:49,2016-04-11 10:35:49,0.8,Fair Oaks & Washington
6,2016-04-11 09:35:32,ASI,160005501495514,Pass Entry (Tag On),9,27,20cc,2016-04-11 09:29:49,2016-04-11 10:35:49,0.8,Fair Oaks & Washington
7,2016-04-11 09:38:41,Reg SV Regular,160005277962713,SV Entry (Tag On),9,27,20cc,2016-04-11 09:29:49,2016-04-11 10:35:49,0.8,Raymond & Holly
8,2016-04-11 09:40:03,ASI,160042245085129,Pass Entry (Tag On),9,27,20cc,2016-04-11 09:29:49,2016-04-11 10:35:49,0.8,Raymond & Holly
9,2016-04-11 09:41:29,ASI,160028111060270,Pass Entry (Tag On),9,27,20cc,2016-04-11 09:29:49,2016-04-11 10:35:49,0.8,Raymond & Holly
10,2016-04-11 09:45:54,ASI,160005689770399,Pass Entry (Tag On),9,27,20cc,2016-04-11 09:29:49,2016-04-11 10:35:49,0.8,Raymond & Del Mar Sta.
11,2016-04-11 09:49:39,ASI,160005320163038,Pass Entry (Tag On),9,27,20cc,2016-04-11 09:29:49,2016-04-11 10:35:49,0.8,Raymond & Del Mar Sta.
12,2016-04-11 09:51:13,ASI,160011832454469,Pass Entry (Tag On),9,27,20cc,2016-04-11 09:29:49,2016-04-11 10:35:49,0.8,Raymond & Del Mar Sta.
13,2016-04-11 09:55:05,Reg SV Regular,160004844596955,SV Entry (Tag On),9,27,20cc,2016-04-11 09:29:49,2016-04-11 10:35:49,0.8,Arroyo Pkwy & California
14,2016-04-11 09:58:45,Reg SV Regular,160008207379396,SV Entry (Tag On),9,27,20cc,2016-04-11 09:29:49,2016-04-11 10:35:49,0.8,Arroyo Pkwy & California
15,2016-04-11 10:02:04,Reg SV Regular,160002377718467,SV Entry (Tag On),9,27,20cc,2016-04-11 09:29:49,2016-04-11 10:35:49,0.8,Lake & Colorado
16,2016-04-11 10:17:26,ASI,160041880230727,Pass Entry (Tag On),9,27,20cc,2016-04-11 09:29:49,2016-04-11 10:35:49,0.8,Lake & Washington
17,2016-04-11 10:36:33,Reg SV Sr/Dis,1701357368484327681,SV Entry (Tag On),10,35,20cc,2016-04-11 10:36:04,2016-04-11 11:45:50,-0.2,Fair Oaks & Woodbury
18,2016-04-11 10:39:55,ASI,160005584782879,Pass Entry (Tag On),10,35,20cc,2016-04-11 10:36:04,2016-04-11 11:45:50,-0.2,Fair Oaks & Washington
19,2016-04-11 10:40:14,Reg SV Regular,160041792608887,SV Entry (Tag On),10,35,20cc,2016-04-11 10:36:04,2016-04-11 11:45:50,-0.2,Fair Oaks & Washington
