Company,Vehicle,Hour,Minute,Trip No,Route,Departure,Arrival,Avg Departure Diff,Avg Scheduled Travel,Avg Arrival Diff
First Transit,2210,7,12,304001,31,7:12:30 AM,7:41:15 AM,0.5,29,0.3
,,15,26,204001,20cw,3:26:40 PM,4:01:25 PM,0.7,30,5.4
,3206,6,43,102001,10,6:43:52 AM,7:02:53 AM,0.9,20,-0.1
,,7,16,102002,10,7:17:37 AM,7:37:07 AM,1.6,18,3.1
,,,36,102003,10,7:37:22 AM,7:57:22 AM,1.4,21,0.4
,,8,4,102004,10,8:05:07 AM,8:21:22 AM,1.1,17,0.4
,,,21,102005,10,8:21:37 AM,8:42:22 AM,0.6,21,0.4
,,,49,102006,10,8:50:52 AM,9:09:07 AM,1.9,17,3.1
,,9,6,102007,10,9:09:22 AM,9:28:38 AM,3.4,23,-0.4
,,,36,102008,10,9:36:37 AM,9:57:07 AM,0.6,18,3.1
,,,54,102009,10,9:57:22 AM,10:20:22 AM,3.4,23,3.4
,,10,24,102010,10,10:24:52 AM,10:44:52 AM,0.9,20,0.9
,,,44,102011,10,10:45:07 AM,11:08:22 AM,1.1,24,0.4
,,16,0,502101,51,4:01:23 PM,4:24:24 PM,1.4,27,-2.6
,,,33,502102,51,4:34:53 PM,5:02:23 PM,1.9,28,1.4
,,17,8,502103,51,5:08:24 PM,5:33:38 PM,0.4,27,-1.4
,,,48,502104,51,,6:16:12 PM,,25,3.2
,,18,19,502105,51,6:19:12 PM,6:42:42 PM,0.2,27,-3.3
,,,53,502106,51,6:53:26 PM,7:18:57 PM,0.4,24,2
,,19,20,502107,51,7:20:12 PM,7:30:11 PM,0.2,11,-0.8
,3207,6,39,502001,51,6:39:27 AM,7:03:42 AM,0.5,16,8.7
,,7,5,502002,51,7:05:27 AM,7:32:12 AM,0.5,24,3.2
,,,29,502003,51,7:32:57 AM,8:00:57 AM,4,27,5
,,14,45,602001,60,2:44:29 PM,3:08:13 PM,-0.5,23,0.2
,,15,8,602002,60,3:08:58 PM,3:30:58 PM,1,17,6
,,,31,602003,60,3:31:28 PM,3:55:43 PM,0.5,23,1.7
,,,56,602004,60,3:56:13 PM,4:19:13 PM,0.2,19,4.2
,,16,18,602005,60,4:19:28 PM,4:41:28 PM,1.5,23,0.5
,,,45,602006,60,4:45:13 PM,5:04:58 PM,0.2,19,1
,,17,17,602007,60,5:16:45 PM,5:40:44 PM,-0.3,24,-0.3
,,,45,602008,60,5:45:12 PM,6:06:42 PM,0.2,18,3.7
,,18,6,602009,60,6:07:28 PM,6:27:59 PM,1.5,22,0
,,,30,602010,60,6:30:28 PM,6:49:58 PM,0.5,17,3
,,,47,602011,60,6:50:12 PM,7:08:14 PM,3.2,22,-0.8
,,19,13,602012,60,7:13:13 PM,7:31:13 PM,0.2,17,1.2
,3208,6,7,501001,51,6:07:30 AM,6:28:30 AM,0.5,23,-1.5
,,,38,501002,51,6:38:30 AM,7:00:31 AM,0.5,21,1.5
,,,59,501003,52,7:01:31 AM,7:32:46 AM,2.5,36,-2.2
,,7,44,501004,51,7:46:15 AM,8:11:00 AM,2.3,24,3
,,8,11,501005,51,8:12:30 AM,8:38:00 AM,1.5,25,2
,,,49,501006,51,8:50:00 AM,9:15:00 AM,1,24,2
,,9,13,501007,51,9:15:45 AM,9:38:00 AM,2.8,25,0
,,,45,501008,51,9:45:45 AM,10:10:30 AM,0.8,24,1.5
,,10,11,501009,51,10:11:15 AM,10:40:45 AM,0.3,26,3.8
,,,44,501010,51,10:44:30 AM,11:10:00 AM,0.5,26,0
,,11,10,501011,51,11:10:15 AM,11:36:00 AM,0.3,26,0
,,,49,501012,51,11:49:15 AM,,0.3,24,
,,12,13,501013,51,12:17:00 PM,12:41:00 PM,4,26,2
,3209,5,58,601001,60,5:58:38 AM,6:19:22 AM,0.6,18,3.4
,,6,20,601002,60,6:21:37 AM,6:38:09 AM,1.6,16,2.2
,,,41,601003,60,6:42:08 AM,7:01:09 AM,1.1,20,0.2
,,7,3,601004,60,7:05:09 AM,7:22:24 AM,2.2,17,2.4
,,,33,601005,60,7:33:53 AM,7:57:39 AM,0.9,21,3.7
,,,58,601006,60,8:01:39 AM,8:20:54 AM,3.7,18,4.9
,,8,23,601007,60,8:23:53 AM,8:46:39 AM,0.9,21,2.7
,,,47,601008,60,8:47:37 AM,9:07:39 AM,0.6,17,3.7
,,9,12,601009,60,9:13:38 AM,9:33:23 AM,1.6,20,1.4
,,,36,601010,60,9:36:38 AM,9:54:08 AM,0.6,17,1.1
,,,58,601011,60,9:58:22 AM,10:18:22 AM,0.4,20,0.4
,,10,19,601012,60,10:19:53 AM,10:40:22 AM,0.9,17,4.4
,,12,46,501101,51,12:46:00 PM,1:16:45 PM,0,24,6.8
,,13,13,501102,51,1:17:00 PM,1:41:45 PM,4,26,2.8
,,,46,501103,51,1:45:47 PM,2:12:00 PM,-0.2,24,2
,,14,12,501104,51,2:12:30 PM,2:37:01 PM,0.5,26,-1
,,,45,501105,51,2:44:48 PM,3:12:31 PM,-0.2,25,2.5
,,15,12,501106,51,3:13:31 PM,3:38:47 PM,1.5,27,-0.2
,,16,3,501107,51,4:03:48 PM,4:35:33 PM,0.8,28,4.6
,,,34,501108,52,4:36:17 PM,5:21:48 PM,2.3,35,12.8
,,17,16,501109,51,5:22:33 PM,5:51:03 PM,6.6,26,9.1
,,,45,501110,51,5:51:33 PM,6:17:03 PM,6.6,27,5.1
,,18,25,501111,51,6:26:06 PM,6:53:35 PM,1.1,25,3.6
,,,53,501112,52,6:54:06 PM,7:30:20 PM,1.1,35,2.3
,,19,34,501113,51,7:35:06 PM,7:59:51 PM,1.1,24,1.9
,3216,5,43,293001,20cc,5:45:55 AM,6:35:11 AM,2.9,54,-1.8
,,6,37,293002,20cc,6:37:25 AM,7:36:04 AM,0.4,58,1.1
,,7,35,293003,20cc,7:36:27 AM,8:42:41 AM,1.5,68,-0.3
,,8,43,293004,20cc,8:43:25 AM,9:50:25 AM,0.4,67,0.4
,,9,50,293005,20cc,9:50:55 AM,,0.9,63,
,,10,53,293006,20cc,10:53:55 AM,11:59:11 AM,0.9,68,-1.8
,,12,1,293007,20cc,12:01:40 PM,1:07:41 PM,0.7,67,-0.3
,,13,8,293008,20cc,1:08:25 PM,2:17:55 PM,0.4,68,1.9
,,14,16,293009,20cc,2:18:10 PM,3:25:43 PM,2.2,68,1.7
,,15,24,293010,20cc,3:26:57 PM,4:43:26 PM,3,72,7.4
,,16,36,293011,20cc,4:43:41 PM,5:47:12 PM,7.7,69,2.2
,,17,45,293012,20cc,5:47:43 PM,,2.7,74,
,,18,59,293013,20cc,7:00:28 PM,7:45:57 PM,1.5,45,2
,3217,6,12,203001,20cw,6:13:37 AM,6:54:22 AM,1.6,41,1.4
,,7,6,203002,20cw,7:06:37 AM,8:02:22 AM,0.6,49,7.4
,,8,9,203003,20cw,8:10:07 AM,9:06:07 AM,1.1,51,6.1
,,9,12,203004,20cw,9:12:36 AM,10:04:22 AM,0.6,51,1.4
,,10,16,203005,20cw,10:16:51 AM,11:08:51 AM,0.9,52,0.9
,,11,20,203006,20cw,11:20:21 AM,12:14:09 PM,0.4,53,1.2
,,12,25,203007,20cw,12:25:24 PM,1:21:24 PM,0.4,56,0.4
,,13,33,203008,20cw,1:33:53 PM,2:30:38 PM,0.9,57,0.6
,,14,47,203009,20cw,2:47:09 PM,3:45:40 PM,0.2,59,-0.3
,,15,59,203010,20cw,3:59:09 PM,5:04:39 PM,0.2,57,8.7
,,17,6,203011,20cw,5:08:54 PM,6:08:24 PM,2.9,56,6.4
,,18,15,203012,20cw,6:18:24 PM,7:05:25 PM,3.4,51,-0.6
,,19,16,203013,20cw,7:16:09 PM,8:04:24 PM,0.2,46,2.4
,3219,5,59,103001,10,6:00:42 AM,6:13:58 AM,1.7,15,0
,,6,14,103002,10,6:14:12 AM,6:32:58 AM,0.2,19,0
,,,40,103003,10,6:40:26 AM,6:57:12 AM,0.4,15,2.2
,,,55,103004,10,6:57:27 AM,7:16:27 AM,2.5,21,0.5
,,7,29,103005,10,7:31:27 AM,7:48:27 AM,2.5,18,1.5
,,,51,103006,10,7:51:27 AM,8:13:12 AM,0.5,21,1.2
,,8,19,103007,10,8:19:12 AM,,0.2,17,
,,,36,103008,10,8:39:12 AM,9:03:57 AM,3.2,21,7
,,9,4,103009,10,9:05:12 AM,9:24:12 AM,1.2,18,2.2
,,,22,103010,10,9:24:27 AM,9:46:12 AM,2.5,23,1.2
,,11,21,102012,10,11:21:56 AM,,0.9,20,
,,,41,102013,10,11:43:57 AM,12:10:11 PM,3,24,5.2
,,12,12,102014,10,12:12:56 PM,,0.9,21,
,,,35,102015,10,12:40:11 PM,1:03:56 PM,5.2,24,4.9
,,13,6,102016,10,1:06:41 PM,1:28:57 PM,0.7,20,3
,,,28,102017,10,1:29:12 PM,1:55:12 PM,1.2,24,3.2
,,14,5,102018,10,2:05:26 PM,2:32:11 PM,0.4,20,7.2
,,,27,102019,10,2:32:26 PM,2:55:12 PM,5.4,24,4.2
,,,59,102020,10,2:59:27 PM,3:19:58 PM,0.5,21,0
,,15,21,102021,10,3:21:12 PM,3:48:27 PM,0.2,23,4.5
,,,51,102022,10,3:51:12 PM,4:13:27 PM,0.2,21,1.5
,,16,16,102023,10,4:16:12 PM,4:40:27 PM,0.2,23,1.5
,,,46,102024,10,4:46:27 PM,5:09:42 PM,0.5,20,3.7
,,17,8,102025,10,5:10:12 PM,5:38:42 PM,2.2,26,4.7
,,,41,102026,10,5:41:27 PM,,0.5,20,
,,18,3,102027,10,6:09:57 PM,6:34:12 PM,7,22,9.2
,,,32,102028,10,6:34:27 PM,6:52:12 PM,2.5,20,0.2
,,,59,102029,10,7:03:57 PM,7:30:42 PM,5,22,9.7
,,19,28,102030,10,7:30:57 PM,,3,15,
,3220,6,48,403001,40,6:49:36 AM,7:17:51 AM,1.6,28,1.9
,,7,26,403002,40,7:27:21 AM,7:49:21 AM,1.4,23,0.4
,,,52,403003,40,7:52:21 AM,8:19:52 AM,0.4,28,-0.1
,,8,30,403004,40,8:31:06 AM,8:53:36 AM,1.1,23,0.6
,3221,6,4,201001,20cw,6:04:24 AM,6:16:39 AM,0.4,12,0.7
,,,33,201002,20cw,6:33:54 AM,7:23:09 AM,0.9,45,5.2
,,7,30,201003,20cw,7:30:38 AM,8:36:23 AM,0.6,50,16.4
,,8,30,201004,20cw,8:47:39 AM,9:30:09 AM,17.7,51,9.2
,,9,33,201005,20cw,9:36:24 AM,10:26:54 AM,3.4,51,2.9
,,10,37,201006,20cw,10:37:53 AM,11:33:39 AM,0.9,52,4.7
,,11,41,201007,20cw,11:42:54 AM,12:36:09 PM,1.9,55,0.2
,,12,48,201008,20cw,12:48:38 PM,1:53:08 PM,0.6,56,9.1
,,13,56,201009,20cw,1:56:38 PM,2:57:24 PM,0.6,57,4.4
,,15,6,201010,20cw,3:07:54 PM,4:10:27 PM,1.9,58,6.5
,,16,19,201011,20cw,4:20:27 PM,5:19:42 PM,1.5,57,3.7
,,17,28,201012,20cw,5:28:42 PM,6:29:11 PM,0.7,54,7.2
,,18,35,201013,20cw,6:35:41 PM,7:24:11 PM,0.7,50,-0.8
,,19,37,201014,20cw,7:39:12 PM,8:23:12 PM,2.2,46,0.2
