Trip Date,30,,,,,,,,,
Day,All,,,,,,,,,
,,,,,,,,,,
,,,,,,Data,,,,
Company,Vehicle,Hour,Minute,Trip No,Route,Departure,Arrival,Avg Departure Diff,Avg Scheduled Travel,Avg Arrival Diff
First Transit,3217,11,0,402001,40,11:00:58 AM,11:28:58 AM,1.0,27.0,2.0
,,,37,402002,40,11:38:43 AM,12:02:43 PM,1.7,22.0,3.7
,,12,4,402003,40,12:04:58 PM,12:34:28 PM,1.0,27.0,3.5
,,,41,402004,40,12:41:58 PM,1:06:28 PM,1.0,21.0,4.5
,,13,5,402005,40,1:06:58 PM,1:33:28 PM,2.0,28.0,0.5
,,,43,402006,40,1:44:28 PM,2:11:58 PM,1.5,23.0,6.0
,,14,9,402007,40,2:12:13 PM,2:39:43 PM,3.2,28.0,2.7
,,,47,402008,40,2:47:58 PM,3:11:43 PM,1.0,23.0,1.7
,,15,13,402009,40,3:13:28 PM,3:43:43 PM,0.5,27.0,3.7
,,,50,402010,40,3:51:13 PM,4:15:28 PM,1.2,23.0,2.5
,,16,15,402011,40,4:16:13 PM,4:46:28 PM,1.2,28.0,3.5
,,,53,402012,40,4:53:43 PM,5:17:29 PM,0.7,25.0,-0.5
,,17,23,402013,40,5:23:28 PM,5:49:58 PM,0.5,26.0,1.0
,,,59,402014,40,5:59:58 PM,6:21:58 PM,1.0,21.0,2.0
,,18,26,402015,40,6:26:58 PM,6:58:58 PM,1.0,27.0,6.0
,,19,3,402016,40,7:03:43 PM,7:27:28 PM,0.7,20.0,4.5
,,,25,402017,40,7:27:58 PM,7:53:58 PM,3.0,25.0,4.0
,3218,10,49,302001,32,10:49:51 AM,11:14:37 AM,0.9,26.0,-0.4
,,11,15,302002,32,11:15:36 AM,11:39:51 AM,0.6,22.0,2.9
,,,50,302003,32,11:50:36 AM,12:16:38 PM,0.6,25.0,1.6
,,12,15,302004,32,12:17:07 PM,12:39:24 PM,2.1,22.0,2.4
,,,45,302005,32,12:46:08 PM,1:14:23 PM,1.1,30.0,-0.6
,,13,15,302006,32,1:15:38 PM,1:37:08 PM,0.6,23.0,-0.9
,,,46,302007,32,1:46:53 PM,2:14:38 PM,0.9,29.0,-0.4
,,14,15,302008,32,2:15:53 PM,2:38:39 PM,0.9,24.0,-0.3
,,,47,302009,32,2:48:38 PM,3:15:38 PM,1.6,28.0,0.6
,,15,15,302010,32,3:15:52 PM,3:40:22 PM,0.9,22.0,3.4
,,,50,302011,32,3:50:52 PM,4:19:22 PM,0.9,26.0,3.4
,,16,16,302012,32,4:19:37 PM,4:42:52 PM,3.6,22.0,4.9
,,,46,302013,32,4:46:52 PM,,0.9,32.0,
,,17,18,302014,32,5:19:07 PM,5:44:07 PM,1.1,24.0,2.1
,,,50,302015,32,5:51:22 PM,6:18:22 PM,1.4,28.0,0.4
,,18,18,302016,32,6:18:52 PM,6:40:53 PM,0.9,23.0,-0.1
,,,49,302017,32,6:50:37 PM,7:25:22 PM,1.6,26.0,10.4
,,19,15,302018,32,7:25:52 PM,7:46:52 PM,10.9,23.0,8.9
,3219,10,56,201001,20cw,10:56:24 AM,11:32:12 AM,0.4,33.0,3.2
,,11,34,201002,20cw,11:35:27 AM,12:31:42 PM,1.5,55.0,2.7
,,12,39,201003,20cw,12:39:12 PM,1:33:10 PM,0.2,54.0,0.2
,,13,46,201004,20cw,1:46:25 PM,2:40:40 PM,0.4,52.0,2.7
,,14,48,201005,20cw,2:51:25 PM,3:46:40 PM,3.4,54.0,4.7
,,15,52,201006,20cw,3:52:25 PM,4:46:11 PM,0.4,55.0,-0.8
,,16,57,201007,20cw,4:57:55 PM,5:47:56 PM,0.9,51.0,-0.1
,,18,1,201008,20cw,6:01:40 PM,6:51:40 PM,0.7,49.0,1.7
,,,55,201009,20cw,6:55:40 PM,7:39:26 PM,0.7,45.0,-0.6
,3220,10,45,301001,31,10:46:23 AM,11:11:38 AM,1.4,25.0,1.6
,,11,18,301002,31,11:20:24 AM,11:47:24 AM,2.4,27.0,2.4
,,,45,301003,31,11:47:54 AM,12:11:39 PM,2.9,23.0,3.7
,,12,21,301004,31,12:23:24 PM,12:55:08 PM,2.4,26.0,8.1
,,,47,301005,31,12:56:53 PM,1:23:08 PM,9.9,23.0,13.1
,,13,18,301006,31,1:26:38 PM,1:54:08 PM,8.6,27.0,9.1
,,,45,301007,31,1:55:23 PM,2:21:23 PM,10.4,24.0,12.4
,,14,17,301008,31,2:22:39 PM,2:49:54 PM,5.7,28.0,4.9
,,,45,301009,31,2:50:09 PM,3:12:09 PM,5.2,25.0,2.2
,,15,18,301010,31,3:19:23 PM,3:47:24 PM,1.4,27.0,2.4
,,,45,301011,31,3:48:09 PM,4:07:23 PM,3.2,23.0,-0.6
,,16,21,301012,31,4:22:53 PM,4:48:53 PM,1.9,27.0,0.9
,,,48,301013,31,4:49:38 PM,5:09:54 PM,1.6,24.0,-2.1
,,17,20,301014,31,5:20:38 PM,5:47:39 PM,0.6,28.0,-0.3
,,,48,301015,31,5:48:53 PM,,0.9,24.0,
,,18,20,301016,31,6:20:53 PM,6:47:23 PM,0.9,28.0,-0.6
,,,48,301017,31,6:48:24 PM,7:09:08 PM,0.4,22.0,-0.9
,,19,18,301018,31,7:18:38 PM,7:43:09 PM,0.6,25.0,0.2
,,,43,301019,31,7:43:53 PM,8:03:38 PM,0.9,22.0,-1.4
,3221,11,0,291001,20cc,11:00:28 AM,11:23:13 AM,0.5,23.0,0.2
,,,23,291002,20cc,11:23:43 AM,12:27:28 PM,0.7,64.0,0.5
,,12,27,291003,20cc,12:27:58 PM,1:35:13 PM,1.0,67.0,1.2
,,13,34,291004,20cc,1:35:58 PM,2:38:43 PM,2.0,64.0,0.7
,,14,38,291005,20cc,2:38:58 PM,3:43:58 PM,1.0,65.0,1.0
,,15,43,291006,20cc,3:44:28 PM,4:52:43 PM,1.5,67.0,2.7
,,16,50,291007,20cc,4:53:28 PM,5:53:28 PM,3.5,62.0,1.5
,,17,52,291008,20cc,5:53:58 PM,,2.0,56.0,
,,18,48,291009,20cc,6:54:43 PM,,6.7,48.0,
,3222,11,10,202001,20cw,11:11:09 AM,12:05:22 PM,1.2,51.0,4.4
,,12,6,202002,20cw,12:06:22 PM,1:01:51 PM,0.4,54.0,1.9
,,13,10,202003,20cw,1:15:51 PM,2:07:35 PM,5.9,55.0,2.6
,,14,18,202004,20cw,2:18:51 PM,3:17:34 PM,0.9,52.0,7.6
,,15,20,202005,20cw,3:21:33 PM,4:14:03 PM,1.6,54.0,0.1
,,16,24,202006,20cw,,5:17:05 PM,,54.0,-0.9
,,17,31,202007,20cw,,6:21:51 PM,,50.0,0.9
,,18,31,202008,20cw,6:31:36 PM,7:18:06 PM,0.6,47.0,0.1
,,19,23,202009,20cw,7:23:51 PM,8:07:37 PM,0.9,45.0,-0.4
,3223,10,55,292001,20cc,10:57:35 AM,11:57:05 AM,2.6,60.0,2.1
,,11,55,292002,20cc,11:58:20 AM,1:04:18 PM,3.3,67.0,2.3
,,13,2,292003,20cc,1:04:48 PM,,2.8,64.0,
,,14,6,292004,20cc,,3:11:06 PM,,64.0,1.1
,,15,10,292005,20cc,3:11:21 PM,4:18:45 PM,1.4,65.0,3.8
,,16,15,292006,20cc,4:19:15 PM,,4.3,67.0,
,,17,22,292007,20cc,5:23:45 PM,,1.8,62.0,
,,18,24,292008,20cc,6:25:30 PM,,1.5,54.0,
,,19,18,292009,20cc,7:23:00 PM,8:07:30 PM,5.0,48.0,1.5
,3292,11,2,102001,10,11:02:25 AM,,0.4,22.0,
,,,31,102002,10,,,,19.0,
,,,54,102003,10,,,,23.0,
,,12,24,102004,10,,,,20.0,
,,13,24,102006,10,,,,20.0,
,,,44,102007,10,,2:09:43 PM,,24.0,1.7
,,14,15,102008,10,2:18:13 PM,2:35:44 PM,3.2,21.0,-0.3
,,,38,102009,10,2:38:58 PM,3:00:29 PM,1.0,23.0,-0.5
,,15,8,102010,10,3:08:43 PM,,0.7,21.0,
,,,31,102011,10,3:34:28 PM,3:58:43 PM,3.5,23.0,4.7
,,16,1,102012,10,4:03:43 PM,,2.7,21.0,
,,,24,102013,10,4:31:58 PM,4:59:58 PM,8.0,23.0,13.0
,,,54,102014,10,5:00:13 PM,5:22:13 PM,6.2,21.0,7.2
,,17,16,102015,10,5:22:28 PM,5:45:58 PM,6.5,23.0,7.0
,,,46,102016,10,5:49:28 PM,6:09:13 PM,3.5,20.0,3.2
,,18,9,102017,10,6:09:28 PM,6:31:58 PM,0.5,22.0,1.0
,,,44,102018,10,6:44:58 PM,,1.0,20.0,
,,19,6,102019,10,7:06:28 PM,,0.5,20.0,
,,,33,102020,10,7:33:43 PM,7:53:43 PM,0.7,18.0,2.7
,3293,7,30,501001,51s,7:30:30 AM,7:43:30 AM,0.5,11.0,2.5
,,,43,501002,51s,7:43:45 AM,7:51:45 AM,0.8,8.0,0.8
,,,51,501003,51s,7:52:15 AM,8:05:00 AM,1.3,11.0,3.0
,,8,4,501004,51s,8:05:15 AM,8:13:45 AM,1.3,9.0,0.8
,,,13,501005,51s,8:14:30 AM,,1.5,11.0,
,,,26,501006,51s,8:26:30 AM,8:35:30 AM,0.5,9.0,0.5
,,,35,501007,51s,8:36:15 AM,,1.3,11.0,
,,,48,501008,51s,8:49:45 AM,8:58:30 AM,1.8,9.0,1.5
,,,57,501009,51s,8:59:00 AM,9:23:30 AM,2.0,11.0,15.5
,,9,23,501010,51s,9:23:45 AM,9:32:45 AM,0.8,8.0,1.8
,,,31,501011,51s,9:33:15 AM,9:44:15 AM,2.3,11.0,2.3
,,,44,501012,51s,9:44:30 AM,9:53:45 AM,0.5,8.0,1.8
,,,52,501013,51s,9:54:00 AM,,2.0,11.0,
,,10,5,501014,51s,10:05:45 AM,10:15:30 AM,0.8,9.0,1.5
,,,14,501015,51s,10:15:45 AM,,1.8,11.0,
,,,27,501016,51s,10:28:00 AM,10:37:45 AM,1.0,9.0,1.8
,,,36,501017,51s,10:38:15 AM,10:50:30 AM,2.3,11.0,3.5
,,,49,501018,51s,10:50:45 AM,10:59:30 AM,1.8,9.0,1.5
,,,58,501019,51s,11:00:15 AM,11:11:15 AM,2.3,11.0,2.3
,,11,11,501020,51s,11:11:30 AM,11:20:45 AM,0.5,9.0,0.8
,,,20,501021,51s,11:21:15 AM,,1.3,11.0,
,,,33,501022,51s,11:34:15 AM,11:43:30 AM,1.3,9.0,1.5
,,,42,501023,51s,11:44:00 AM,,2.0,11.0,
,,12,3,501024,51s,12:03:45 PM,12:12:45 PM,0.8,9.0,0.8
,,,12,501025,51s,12:13:00 PM,12:25:15 PM,1.0,11.0,2.3
,,,25,501026,51s,12:25:30 PM,12:34:45 PM,0.5,9.0,0.8
,,,34,501027,51s,12:35:15 PM,12:47:45 PM,1.3,11.0,2.8
,,,47,501028,51s,12:48:00 PM,12:57:45 PM,1.0,9.0,1.8
,,,56,501029,51s,12:58:15 PM,,2.3,11.0,
,,13,9,501030,51s,1:09:45 PM,1:17:30 PM,0.8,8.0,0.5
,,,21,501031,51s,1:21:30 PM,1:34:15 PM,0.5,11.0,2.3
,,,34,501032,51s,1:34:30 PM,1:42:45 PM,0.5,8.0,0.8
,,,42,501033,51s,1:43:30 PM,,1.5,11.0,
,,,55,501034,51s,1:55:45 PM,2:04:45 PM,0.8,8.0,1.8
,,14,3,501035,51s,2:05:45 PM,2:16:15 PM,2.8,11.0,2.3
,,,16,501036,51s,2:16:30 PM,2:24:45 PM,0.5,8.0,0.8
,,,24,501037,51s,2:25:45 PM,,1.8,11.0,
,,,37,501038,51s,2:38:00 PM,2:47:45 PM,1.0,8.0,2.8
,,,45,501039,51s,2:48:45 PM,2:58:30 PM,3.8,11.0,2.5
,,,58,501040,51s,2:58:45 PM,3:06:46 PM,0.8,9.0,-0.2
,,15,7,501041,51s,3:07:45 PM,,0.8,11.0,
,,,33,501042,51s,,3:43:32 PM,,9.0,1.5
,,,42,501043,51s,3:44:02 PM,3:55:17 PM,2.0,11.0,2.3
,,,55,501044,51s,3:55:33 PM,4:03:47 PM,0.6,9.0,-0.2
