,,Green &,Colorado&,Lake &,Lake &,Del Mar,Allen,,Allen,Del Mar,Lake &,Colorado,Colorado &,Colorado,Green &
Route,Day,Orange Grove,Raymond,Colorado,Del Mar,& Bonnie,& Corson,,& Corson,& Bonnie,Del Mar,& Lake,Raymond,& De Lacey,Orange Grove
10,sat,,,,,,,,10:55 AM,10:58 AM,11:01 AM,11:03 AM,11:09 AM,,11:14 AM
10,sat,10:46 AM,10:51 AM,10:56 AM,10:58 AM,11:01 AM,11:07 AM,,11:14 AM,11:17 AM,11:20 AM,11:22 AM,11:28 AM,,11:33 AM
10,sat,11:02 AM,11:07 AM,11:13 AM,11:15 AM,11:18 AM,11:24 AM,,11:31 AM,11:34 AM,11:37 AM,11:39 AM,11:45 AM,,11:50 AM
10,sat,11:19 AM,11:24 AM,11:30 AM,11:32 AM,11:35 AM,11:41 AM,,11:51 AM,11:54 AM,11:57 AM,11:59 AM,12:05 PM,,12:10 PM
10,sat,11:37 AM,11:42 AM,11:48 AM,11:50 AM,11:53 AM,11:59 AM,,12:06 PM,12:09 PM,12:13 PM,12:15 PM,12:21 PM,,12:26 PM
10,sat,11:54 AM,12:00 PM,12:06 PM,12:08 PM,12:11 PM,12:17 PM,,12:24 PM,12:27 PM,12:31 PM,12:33 PM,12:39 PM,,12:44 PM
10,sat,12:12 PM,12:18 PM,12:24 PM,12:26 PM,12:29 PM,12:35 PM,,12:42 PM,12:45 PM,12:49 PM,12:51 PM,12:57 PM,,1:02 PM
10,sat,12:30 PM,12:36 PM,12:42 PM,12:44 PM,12:47 PM,12:53 PM,,1:06 PM,1:09 PM,1:12 PM,1:14 PM,1:21 PM,,1:26 PM
10,sat,12:48 PM,12:54 PM,1:00 PM,1:02 PM,1:05 PM,1:11 PM,,1:24 PM,1:27 PM,1:30 PM,1:32 PM,1:39 PM,,1:44 PM
10,sat,1:05 PM,1:11 PM,1:17 PM,1:19 PM,1:22 PM,1:28 PM,,1:41 PM,1:44 PM,1:47 PM,1:49 PM,1:56 PM,,2:02 PM
10,sat,1:26 PM,1:32 PM,1:38 PM,1:40 PM,1:43 PM,1:49 PM,,1:56 PM,1:59 PM,2:02 PM,2:04 PM,2:11 PM,,2:17 PM
10,sat,1:44 PM,1:50 PM,1:56 PM,1:58 PM,2:01 PM,2:08 PM,,2:15 PM,2:18 PM,2:21 PM,2:23 PM,2:30 PM,,2:36 PM
10,sat,2:02 PM,2:08 PM,2:14 PM,2:16 PM,2:19 PM,2:26 PM,,2:33 PM,2:36 PM,2:39 PM,2:41 PM,2:48 PM,,2:54 PM
10,sat,2:20 PM,2:26 PM,2:32 PM,2:34 PM,2:37 PM,2:44 PM,,2:51 PM,2:54 PM,2:57 PM,2:59 PM,3:06 PM,,3:12 PM
10,sat,2:38 PM,2:44 PM,2:50 PM,2:52 PM,2:55 PM,3:01 PM,,3:08 PM,3:11 PM,3:14 PM,3:16 PM,3:23 PM,,3:29 PM
10,sat,2:56 PM,3:02 PM,3:08 PM,3:10 PM,3:13 PM,3:19 PM,,3:26 PM,3:29 PM,3:32 PM,3:34 PM,3:41 PM,,3:47 PM
10,sat,3:14 PM,3:20 PM,3:26 PM,3:28 PM,3:31 PM,3:37 PM,,3:44 PM,3:47 PM,3:50 PM,3:52 PM,3:59 PM,,4:05 PM
10,sat,3:31 PM,3:37 PM,3:43 PM,3:45 PM,3:48 PM,3:54 PM,,4:01 PM,4:04 PM,4:07 PM,4:09 PM,4:16 PM,,4:22 PM
10,sat,3:49 PM,3:55 PM,4:01 PM,4:03 PM,4:06 PM,4:12 PM,,4:19 PM,4:22 PM,4:25 PM,4:27 PM,4:34 PM,,4:40 PM
10,sat,4:07 PM,4:13 PM,4:19 PM,4:21 PM,4:24 PM,4:30 PM,,4:37 PM,4:40 PM,4:43 PM,4:45 PM,4:52 PM,,4:58 PM
10,sat,4:24 PM,4:30 PM,4:36 PM,4:38 PM,4:41 PM,4:47 PM,,4:54 PM,4:57 PM,5:00 PM,5:02 PM,5:09 PM,,5:15 PM
10,sat,4:42 PM,4:48 PM,4:54 PM,4:56 PM,4:59 PM,5:06 PM,,5:13 PM,5:16 PM,5:19 PM,5:21 PM,5:28 PM,,5:34 PM
