,,Fair Oaks & ,Lake &,Lake &,Lake &,Arroyo Pkwy,Raymond,Raymond,Fair Oaks &,Fair Oaks & 
Route,Day,Woodbury,Washington,Villa,Colorado,& California,& Del Mar Sta.,& Holly,Washington,Woodbury
20CW,dx,,,,,,,6:05 AM,6:13 AM,6:17 AM
20CW,dx,5:54 AM,6:00 AM,6:04 AM,6:07 AM,6:13 AM,6:20 AM,6:22 AM,6:30 AM,6:34 AM
20CW,dx,6:15 AM,6:22 AM,6:26 AM,6:29 AM,6:35 AM,6:42 AM,6:44 AM,6:52 AM,6:56 AM
20CW,dx,6:32 AM,6:39 AM,6:43 AM,6:46 AM,6:52 AM,7:00 AM,7:04 AM,7:14 AM,7:18 AM
20CW,dx,6:45 AM,6:52 AM,6:56 AM,6:59 AM,7:06 AM,7:14 AM,7:18 AM,7:28 AM,7:32 AM
20CW,dx,7:06 AM,7:14 AM,7:19 AM,7:23 AM,7:30 AM,7:38 AM,7:42 AM,7:52 AM,7:56 AM
20CW,dx,7:28 AM,7:36 AM,7:41 AM,7:45 AM,7:52 AM,8:01 AM,8:05 AM,8:15 AM,8:19 AM
20CW,dx,7:42 AM,7:50 AM,7:55 AM,8:01 AM,8:09 AM,8:18 AM,8:22 AM,8:32 AM,8:36 AM
20CW,dx,8:07 AM,8:14 AM,8:20 AM,8:26 AM,8:34 AM,8:43 AM,8:47 AM,8:57 AM,9:01 AM
20CW,dx,8:29 AM,8:36 AM,8:42 AM,8:48 AM,8:56 AM,9:05 AM,9:09 AM,9:20 AM,9:24 AM
20CW,dx,8:51 AM,8:58 AM,9:04 AM,9:09 AM,9:17 AM,9:26 AM,9:30 AM,9:41 AM,9:45 AM
20CW,dx,9:12 AM,9:19 AM,9:25 AM,9:30 AM,9:38 AM,9:47 AM,9:51 AM,10:02 AM,10:06 AM
20CW,dx,9:34 AM,9:41 AM,9:47 AM,9:52 AM,10:00 AM,10:10 AM,10:14 AM,10:25 AM,10:29 AM
20CW,dx,9:55 AM,10:02 AM,10:07 AM,10:12 AM,10:20 AM,10:30 AM,10:34 AM,10:45 AM,10:49 AM
