,,Raymond,Fair Oaks ,Seco,,Seco,Fair Oaks ,Raymond
Route,Day,Holly,& Mountain,& Arroyo,,& Arroyo,& Mountain,& Holly
51,sat,7:30 AM,7:35 AM,7:41 AM,,7:43 AM,7:46 AM,7:51 AM
51,sat,7:51 AM,7:56 AM,8:02 AM,,8:04 AM,8:08 AM,8:13 AM
51,sat,8:13 AM,8:18 AM,8:24 AM,,8:26 AM,8:30 AM,8:35 AM
51,sat,8:35 AM,8:40 AM,8:46 AM,,8:48 AM,8:52 AM,8:57 AM
51,sat,8:57 AM,9:02 AM,9:08 AM,,9:23 AM,9:26 AM,9:31 AM
51,sat,9:31 AM,9:36 AM,9:42 AM,,9:44 AM,9:47 AM,9:52 AM
51,sat,9:52 AM,9:57 AM,10:03 AM,,10:05 AM,10:09 AM,10:14 AM
51,sat,10:14 AM,10:19 AM,10:25 AM,,10:27 AM,10:31 AM,10:36 AM
51,sat,10:36 AM,10:41 AM,10:47 AM,,10:49 AM,10:53 AM,10:58 AM
51,sat,10:58 AM,11:03 AM,11:09 AM,,11:11 AM,11:15 AM,11:20 AM
51,sat,11:20 AM,11:25 AM,11:31 AM,,11:33 AM,11:37 AM,11:42 AM
51,sat,11:42 AM,11:47 AM,11:53 AM,,12:03 PM,12:07 PM,12:12 PM
51,sat,12:12 PM,12:17 PM,12:23 PM,,12:25 PM,12:29 PM,12:34 PM
51,sat,12:34 PM,12:39 PM,12:45 PM,,12:47 PM,12:51 PM,12:56 PM
51,sat,12:56 PM,1:01 PM,1:07 PM,,1:09 PM,1:12 PM,1:17 PM
51,sat,1:21 PM,1:26 PM,1:32 PM,,1:34 PM,1:37 PM,1:42 PM
51,sat,1:42 PM,1:47 PM,1:53 PM,,1:55 PM,1:58 PM,2:03 PM
51,sat,2:03 PM,2:08 PM,2:14 PM,,2:16 PM,2:19 PM,2:24 PM
51,sat,2:24 PM,2:29 PM,2:35 PM,,2:37 PM,2:40 PM,2:45 PM
51,sat,2:45 PM,2:50 PM,2:56 PM,,2:58 PM,3:02 PM,3:07 PM
51,sat,3:07 PM,3:12 PM,3:18 PM,,3:33 PM,3:37 PM,3:42 PM
51,sat,3:42 PM,3:47 PM,3:53 PM,,3:55 PM,3:59 PM,4:04 PM
51,sat,4:04 PM,4:09 PM,4:15 PM,,4:17 PM,4:21 PM,4:26 PM
51,sat,4:26 PM,4:31 PM,4:37 PM,,4:39 PM,4:43 PM,4:48 PM
51,sat,4:48 PM,4:53 PM,4:59 PM,,5:01 PM,5:04 PM,5:09 PM
51,sat,5:09 PM,5:14 PM,5:20 PM,,5:22 PM,5:25 PM,5:30 PM
51,sat,5:30 PM,5:35 PM,5:41 PM,,5:51 PM,5:54 PM,5:59 PM
51,sat,5:59 PM,6:04 PM,6:10 PM,,6:12 PM,6:15 PM,6:20 PM
51,sat,6:20 PM,6:25 PM,6:31 PM,,6:33 PM,6:36 PM,6:41 PM
51,sat,6:41 PM,6:46 PM,6:52 PM,,7:02 PM,7:05 PM,7:10 PM
51,sat,7:10 PM,7:15 PM,7:21 PM,,7:31 PM,7:35 PM,7:39 PM
51,sat,7:39 PM,7:44 PM,7:50 PM,,8:00 PM,8:04 PM,8:08 PM
