Route,Day,Fair Oaks & Woodbury,Washington & Fair Oaks,Washington & Lake,Altadena & Washington,New York & Bradley,SMV & Station,,Route,SMV & Station,New York & Bradley,Washington & Altadena,Washington & Lake,Washington & Fair Oaks,Woodbury & Glen,Fair Oaks & Woodbury
31,dx,5:55 AM,6:00 AM,6:05 AM,6:11 AM,,6:19 AM,,31,6:29 AM,,6:38 AM,6:44 AM,6:49 AM,6:57 AM,7:01 AM
32,dx,6:30 AM,6:35 AM,6:40 AM,6:46 AM,6:49 AM,6:55 AM,,32,7:06 AM,7:11 AM,7:15 AM,7:21 AM,7:26 AM,,7:34 AM
31,dx,7:01 AM,7:06 AM,7:11 AM,7:19 AM,,7:30 AM,,31,7:38 AM,,7:48 AM,7:54 AM,7:59 AM,,8:07 AM
31,dx,7:12 AM,7:17 AM,7:22 AM,7:30 AM,,7:41 AM,,,,,,,,,
32,dx,7:23 AM,7:28 AM,7:33 AM,7:41 AM,7:43 AM,7:49 AM,,32,7:59 AM,8:05 AM,8:09 AM,8:15 AM,8:20 AM,,8:28 AM
31,dx,7:34 AM,7:39 AM,7:44 AM,7:52 AM,,8:03 AM,,32,8:15 AM,8:21 AM,8:25 AM,8:31 AM,8:36 AM,,8:44 AM
31,dx,8:07 AM,8:12 AM,8:18 AM,8:25 AM,,8:36 AM,,31,8:46 AM,,8:56 AM,9:02 AM,9:07 AM,,9:15 AM
31,dx,8:28 AM,8:33 AM,8:39 AM,8:46 AM,,8:57 AM,,31,9:08 AM,,9:18 AM,9:24 AM,9:29 AM,,9:37 AM
32,dx,8:44 AM,8:49 AM,8:55 AM,9:02 AM,9:04 AM,9:10 AM,,32,9:30 AM,9:35 AM,9:38 AM,9:44 AM,9:49 AM,,9:57 AM
31,dx,9:15 AM,9:20 AM,9:26 AM,9:33 AM,,9:43 AM,,31,9:53 AM,,10:03 AM,10:09 AM,10:14 AM,,10:22 AM
32,dx,9:37 AM,9:42 AM,9:48 AM,9:55 AM,9:57 AM,10:03 AM,,32,10:15 AM,10:20 AM,10:23 AM,10:29 AM,10:34 AM,,10:42 AM
31,dx,9:57 AM,10:02 AM,10:07 AM,10:14 AM,,10:24 AM,,31,10:37 AM,,10:47 AM,10:53 AM,10:58 AM,,11:06 AM
31,dx,10:22 AM,10:27 AM,10:32 AM,10:39 AM,,10:49 AM,,32,10:59 AM,11:04 AM,11:07 AM,11:14 AM,11:19 AM,11:27 AM,11:30 AM
32,dx,10:42 AM,10:47 AM,10:52 AM,10:59 AM,11:01 AM,11:07 AM,,31,11:20 AM,,11:30 AM,11:37 AM,11:42 AM,11:50 AM,11:55 AM
31,dx,11:06 AM,11:11 AM,11:16 AM,11:23 AM,,11:33 AM,,32,11:43 AM,11:48 AM,11:51 AM,11:58 AM,12:03 PM,12:11 PM,12:14 PM
