Route,Day,Raymond & Glenarm,Raymond & Holly,Mountain & Fair Oaks,JPL,Art Center & of Design,,Art Center & of Design,Fair Oaks & Mountain,Raymond & Holly,Raymond & Glenarm
51,dx,6:07 AM,6:14 AM,6:18 AM,,6:30 AM,,6:38 AM,6:49 AM,6:53 AM,6:59 AM
51,dx,,6:39 AM,6:43 AM,,6:55 AM,,7:05 AM,7:16 AM,7:21 AM,7:29 AM
52,dx,6:59 AM,7:05 AM,7:11 AM,7:24 AM,7:35 AM,,7:44 AM,7:55 AM,8:00 AM,8:08 AM
51,dx,7:29 AM,7:35 AM,7:41 AM,,7:56 AM,,,,,
51,dx,8:11 AM,8:17 AM,8:22 AM,,8:36 AM,,8:49 AM,9:00 AM,9:05 AM,9:13 AM
51,dx,9:13 AM,9:19 AM,9:24 AM,,9:38 AM,,9:45 AM,9:56 AM,10:01 AM,10:09 AM
51,dx,10:11 AM,10:18 AM,10:23 AM,,10:37 AM,,10:44 AM,10:56 AM,11:01 AM,11:10 AM
51,dx,11:10 AM,11:17 AM,11:22 AM,,11:36 AM,,11:49 AM,12:00 PM,12:05 PM,12:13 PM
51,dx,12:13 PM,12:20 PM,12:25 PM,,12:39 PM,,12:46 PM,12:57 PM,1:02 PM,1:10 PM
51,dx,1:13 PM,1:20 PM,1:25 PM,,1:39 PM,,1:46 PM,1:57 PM,2:02 PM,2:10 PM
51,dx,2:12 PM,2:19 PM,2:24 PM,,2:38 PM,,2:45 PM,2:57 PM,3:02 PM,3:10 PM
51,dx,3:12 PM,3:19 PM,3:25 PM,,3:39 PM,,4:03 PM,4:16 PM,4:21 PM,4:31 PM
51,dx,4:00 PM,4:07 PM,4:13 PM,,4:27 PM,,4:33 PM,4:46 PM,4:51 PM,5:01 PM
52,dx,4:34 PM,4:41 PM,4:47 PM,4:59 PM,5:09 PM,,5:16 PM,5:28 PM,5:33 PM,5:42 PM
51,dx,5:08 PM,5:15 PM,5:21 PM,,5:35 PM,,5:48 PM,6:00 PM,6:05 PM,6:13 PM
51,dx,5:45 PM,5:52 PM,5:58 PM,,6:12 PM,,6:25 PM,6:37 PM,6:42 PM,6:50 PM
51,dx,6:19 PM,6:26 PM,6:32 PM,,6:46 PM,,6:53 PM,7:05 PM,7:09 PM,7:17 PM
52,dx,6:53 PM,7:00 PM,7:05 PM,7:18 PM,7:28 PM,,7:34 PM,7:46 PM,7:50 PM,7:58 PM
51,dx,7:20 PM,7:26 PM,7:31 PM,,,,,,,
