Route,Day,Bonnie & Colorado,Del Mar Kinneloa & (Urgent Care),SMV & Station,Sierra Madre & Michillinda,,Sierra Madre & Michillinda,SMV & Station,Del Mar Kinneloa & (Urgent Care),Bonnie & Colorado
60,dx,5:58 AM,6:05 AM,6:09 AM,6:16 AM,,6:20 AM,6:25 AM,6:31 AM,6:36 AM
60,dx,6:41 AM,6:48 AM,6:52 AM,7:01 AM,,7:03 AM,7:09 AM,7:15 AM,7:20 AM
60,dx,7:33 AM,7:41 AM,7:45 AM,7:54 AM,,7:58 AM,8:04 AM,8:10 AM,8:16 AM
60,dx,8:23 AM,8:32 AM,8:36 AM,8:44 AM,,8:47 AM,8:53 AM,8:59 AM,9:04 AM
60,dx,9:12 AM,9:20 AM,9:24 AM,9:32 AM,,9:36 AM,9:42 AM,9:48 AM,9:53 AM
60,dx,9:58 AM,10:06 AM,10:10 AM,10:18 AM,,10:19 AM,10:25 AM,10:31 AM,10:36 AM
60,dx,,,,,,,,,
60,dx,2:45 PM,2:54 PM,2:59 PM,3:08 PM,,3:08 PM,3:14 PM,3:20 PM,3:25 PM
60,dx,3:31 PM,3:40 PM,3:45 PM,3:54 PM,,3:56 PM,4:03 PM,4:10 PM,4:15 PM
60,dx,4:18 PM,4:27 PM,4:32 PM,4:41 PM,,4:45 PM,4:52 PM,4:59 PM,5:04 PM
60,dx,5:17 PM,5:26 PM,5:31 PM,5:41 PM,,5:45 PM,5:52 PM,5:59 PM,6:03 PM
60,dx,6:06 PM,6:14 PM,6:19 PM,6:28 PM,,6:30 PM,6:37 PM,6:43 PM,6:47 PM
60,dx,6:47 PM,6:55 PM,7:00 PM,7:09 PM,,7:13 PM,7:20 PM,7:26 PM,7:30 PM
